"","logFC","logCPM","F","PValue","FDR"
"AKAP8L",-0.0604968734312994,5.0478333857849,1.86547951471816,0.193397314730165,0.424532192385554
"FAM83A",-0.0575769751871601,7.52489718236357,1.86383837859061,0.19358173316255,0.424856399826298
"KIAA0100",-0.0270193571663712,8.25256691958089,1.86298591802143,0.19367761477203,0.424856399826298
"NFIX",0.0376364985186028,6.2090733810503,1.86277600962652,0.193701233789577,0.424856399826298
"TMEM115",0.0377865783075594,5.11296652529183,1.86261298965143,0.193719579430133,0.424856399826298
"AMY2B",0.213870172299342,0.367695136835616,1.86251265546789,0.193730871755342,0.424856399826298
"NPIPA5",0.100916962036158,2.4346527309015,1.86222776849725,0.193762939547834,0.424856399826298
"COX10-AS1",-0.0816111913539134,2.15936366551612,1.86210171625447,0.19377713055496,0.424856399826298
"GOLGA4",-0.0345417803665499,7.82590364137467,1.86197457830143,0.193791445135386,0.424856399826298
"SLC25A25",-0.050862160886072,4.35328870868461,1.86132029262985,0.193865133115259,0.424950399861038
"COX20",-0.0554903555501399,4.65391664889243,1.85977710616357,0.194039073961685,0.425158238493271
"TSPAN17",0.039170378387441,5.59816801073293,1.85965895378706,0.194052399759682,0.425158238493271
"VDAC2",-0.0264985017887568,7.08626157576972,1.85963632726932,0.19405495182135,0.425158238493271
"RPP38",-0.0799411093484345,3.75744871879768,1.85897923833193,0.194129084060202,0.425158238493271
"UBE3C",-0.028394271085601,7.40786865524961,1.85897694622868,0.194129342716689,0.425158238493271
"PTCD1",-0.0722494917894441,4.4298104907245,1.85869625931406,0.19416102065901,0.425158238493271
"DPF2",-0.0373319872469022,4.97214641087904,1.85856589609324,0.194175735518352,0.425158238493271
"CYCS",-0.102331456224023,6.85370180753329,1.85771592470175,0.19427171167088,0.425300864661077
"CEP57L1",-0.110114208475993,2.84616213226786,1.85617453244989,0.194445915491551,0.425614674886443
"C1orf159",-0.0534946922423018,3.84007589090858,1.85583821070572,0.194483952132651,0.42563038207133
"VARS2",-0.0464221874277397,4.56597421710915,1.8555373210405,0.194517989599677,0.425637333421981
"PRKD2",0.0392428637663008,5.99484987491156,1.85521168384433,0.194554835146371,0.425650426132415
"MCU",0.0330416517809407,5.24301982423769,1.85464220428381,0.194619292653283,0.425716043718922
"CAPN1",-0.0335583412170947,8.45608636421775,1.85440136046962,0.194646561172529,0.425716043718922
"ATF2",-0.0572669425475668,5.10358035759045,1.85395813158476,0.194696756635225,0.425758311005711
"MYNN",-0.0542545596170986,4.11108775508542,1.8534294216541,0.194756654407683,0.425821778311788
"VEZT",-0.0517074078331944,6.23569586552554,1.85249221899163,0.194862888336984,0.425965697137125
"CPNE7",-0.114457483906413,3.21492924572806,1.85188560641996,0.194931688626283,0.425965697137125
"C6orf25",0.175408573166155,0.21321488175259,1.85175965265546,0.194945977836952,0.425965697137125
"THSD4",0.0867057174498294,6.85613542251889,1.85175929860363,0.194946018005331,0.425965697137125
"MEF2B",-0.171185419554194,0.546087734951808,1.85131769939528,0.194996127162496,0.426007696154783
"C15orf59",0.170034190471195,0.26566274883193,1.85024707471847,0.195117681424285,0.426151669364597
"MEIS1",0.0570628669148381,3.17161694753648,1.85003107813145,0.195142216508189,0.426151669364597
"OAZ1",-0.0311422600643737,8.15663211034704,1.84984185801124,0.195163713287777,0.426151669364597
"PMS2P5",0.0811766598913087,3.01697078180997,1.84964904141936,0.195185621764513,0.426151669364597
"GALNT10",-0.0323079731322171,5.68619560295141,1.84876097581414,0.195286567364964,0.426304580104082
"NECAP2",-0.0453038955479771,5.18052265884988,1.84843367660717,0.195323787983786,0.426318354782778
"EI24",-0.0337024210738964,7.12942290180694,1.84719618431573,0.195464598125789,0.426558186289696
"FBXO3",-0.0429977835439198,4.4973287526807,1.84541011640618,0.19566805763253,0.426897697990403
"RPL32",0.0282787049952476,8.68705862036215,1.84514493921122,0.195698288297627,0.426897697990403
"SNPH",0.0631265997370856,3.36661245031818,1.84501562498393,0.195713032511116,0.426897697990403
"PHLDB3",0.0969053197238757,3.74877831555193,1.84447537371657,0.195774646502957,0.426964567452369
"RSAD1",0.0377329131084909,5.06190916071893,1.84386260621977,0.195844560752523,0.42704951492471
"ARFGEF3",-0.145537933684124,0.784825487361271,1.84084491296926,0.196189333036128,0.427700889962489
"AIMP1",-0.0451385182235227,5.04398041018925,1.84046656630084,0.196232613960147,0.427700889962489
"CAPN7",0.0405518520388821,5.04327054003432,1.84043423377294,0.196236313202047,0.427700889962489
"FANCI",0.0353476347846387,6.22529908453118,1.83977436069288,0.19631183033934,0.427761912536323
"TXNRD2",0.0476038413129957,4.03057003982091,1.83937659752779,0.196357369063392,0.427761912536323
"FAM118A",-0.0606433442548777,3.87658672491827,1.83927279744028,0.196369255049131,0.427761912536323
"BOLA2",0.050653914256554,3.98242418487605,1.8385838469806,0.196448169006745,0.427761912536323
"BOLA2B",0.050653914256554,3.98242418487605,1.8385838469806,0.196448169006745,0.427761912536323
"HDLBP",-0.0300974355210438,9.4834733580518,1.83855163056845,0.196451860140277,0.427761912536323
"AKAP6",0.0972468322397139,2.38505350278876,1.83805764101381,0.196508469149633,0.427761912536323
"ZNF566",-0.0838726164079177,2.09192985461264,1.83802305671918,0.196512433137337,0.427761912536323
"OPA1",-0.0394508202199732,6.37946824689214,1.83762291156739,0.196558304467737,0.427794245734421
"KIAA1033",-0.0494698663600412,6.16244087872975,1.83731621080214,0.196593472907984,0.427803278375972
"RAB29",-0.0408364353420292,4.66385163452599,1.83494121451147,0.196866079051384,0.428328910281856
"FAM206A",-0.0629538757812875,3.3412107116779,1.83404058190513,0.19696958160869,0.428486509392281
"PI4KAP1",0.125031185284804,2.89087964207252,1.83267542685027,0.197126600777618,0.42876046016794
"CEP170",-0.0406769923873634,6.25160799888992,1.83107881643606,0.197310444957816,0.429061253870207
"PSMC6",-0.0446185079783608,5.37503446636969,1.83077738451619,0.197345178412163,0.429061253870207
"FSCN1",0.0355446231785257,9.68070081241759,1.8306642062131,0.197358221762804,0.429061253870207
"UACA",-0.044008433832436,5.38031793627262,1.83036797772541,0.197392366142518,0.429067850880631
"SNORD33",0.173972205812126,1.42914275810995,1.8297863043912,0.197459433931325,0.429145999492725
"ADAT2",0.0537344707659632,4.07039722446905,1.82899072831947,0.197551212232383,0.429277819301878
