"","fpool2_eGFPorf_unt_24h1","fpool2_eGFPorf_unt_24h2","fpool2_eGFPorf_unt_24h3","fpool_eGFPorf_unt_24h1","fpool_eGFPorf_unt_24h2","fpool_eGFPorf_unt_24h3","fpool2_TNFAIP3orf_unt_24h1","fpool2_TNFAIP3orf_unt_24h2","fpool2_TNFAIP3orf_unt_24h3","fpool_TNFAIP3orf_unt_24h1","fpool_TNFAIP3orf_unt_24h2","fpool_TNFAIP3orf_unt_24h3"
"CAAP1",11.7044906114257,11.859445916581,10.8614619989736,11.947855270722,14.4223291005084,11.0173607891765,11.1730004164816,11.8902495201712,11.9405909425048,12.0113410906717,11.8496570605234,11.6720665354036
"CAB39",165.418460804375,159.775420587601,154.979825885188,145.107265840998,151.033092036772,138.170665897202,154.396899505255,158.276764104574,157.25284855779,130.781869142531,136.012848121084,133.261466825478
"CAB39L",6.76950831879892,7.01166675124592,7.81517549508785,7.29833612055898,7.01048279097071,6.7688360404091,7.26245027071302,7.16338803059495,7.19328551272043,6.40356176159,6.19699379843627,6.41641226669975
"CABIN1",75.2906646296844,77.0276883294767,75.4862542599785,71.5180582006899,67.1481166562633,71.4760282309582,75.8891137663209,76.2998286320003,75.3256662099865,78.7078562152712,72.3122181749961,73.37495233628
"CABLES1",2.36020892256064,2.38195377673904,2.13965361582452,1.54983971672102,1.25760569151001,1.52658855379439,2.46155165425609,2.81418815487659,2.15667061076079,1.36775105587359,1.87026389412266,1.76263251547531
"CABLES2",14.0861559787369,15.0633414895187,14.7055854443532,11.2152037682721,10.395315130886,11.5790301627424,14.5772739808783,13.7054617932301,13.8211025116438,9.25097077790866,11.4030268768523,10.8659845923508
"CABP4",4.29128895011025,4.42842110605005,3.64466421000617,2.74744313418726,2.71589314230354,3.0387753287794,4.2597064087836,3.78879877128407,3.7215718466177,2.98418412190602,2.62395232906761,2.28927271826976
"CABYR",5.11736207300648,4.59616432976407,4.66009304463475,5.81894366368892,5.90004372293527,5.77511330256181,5.49921114248702,5.31162785942075,5.49687997132932,7.08743728952679,6.37843731055264,6.35192571125553
"CACFD1",3.36866182583655,3.74067388882258,3.55400092120004,3.38146847284586,2.98346882134822,3.48523047187022,4.38191110083886,3.88625983292481,4.10293433266686,3.77996655441429,3.18224005865646,3.61124710487624
"CACHD1",8.8507834596024,8.8400678897287,9.6103086134491,8.41140282620407,8.88351254428349,8.91470108300688,8.99077377263751,7.82125019667,8.8633901930047,8.05729712914625,8.80698893426415,9.00662224370919
"CACNA2D1",3.46521582721403,2.9019577702525,3.04628650388575,2.66290642236611,2.42155989535439,2.4339006187854,2.98528604877867,3.26494556496505,3.10350161060699,2.27544039295334,2.70769548850594,2.52572342156523
