"","fpool2_eGFPorf_unt_24h1","fpool2_eGFPorf_unt_24h2","fpool2_eGFPorf_unt_24h3","fpool_eGFPorf_unt_24h1","fpool_eGFPorf_unt_24h2","fpool_eGFPorf_unt_24h3","fpool2_eGFPorf_IL17_24h1","fpool2_eGFPorf_IL17_24h2","fpool2_eGFPorf_IL17_24h3","fpool_eGFPorf_IL17_24h1","fpool_eGFPorf_IL17_24h2","fpool_eGFPorf_IL17_24h3"
"DNAJC13",89.5162874992999,88.1826127064588,87.1092878849235,102.45849472723,107.538665408058,101.863781518752,88.0074920618802,85.105370838205,85.8263250696705,97.0830953272446,101.057928350791,102.905573079278
"DNAJC14",37.5273218687142,38.3796495857671,40.6171533851434,40.6621583859715,40.2166245604159,40.5554091272171,39.5772523658471,38.1676557965241,38.7095086851144,41.038181521634,39.1719493651893,40.8691198325425
"DNAJC15",30.1463048745245,30.4957180712083,31.224436664829,31.6871774809597,34.677808004191,32.0583596296822,28.7859556978409,29.9792841543624,30.7025489713603,32.0903588382641,34.431108308353,32.0909465893975
"DNAJC16",27.517890392582,26.4866550244433,25.820904651984,29.1369866743551,27.707461565077,27.8818437749617,28.0298775873436,26.0864517343183,28.2866559542794,29.2014457555006,28.6250782798856,30.1268114403289
"DNAJC17",8.8507834596024,9.34329756087076,9.10259419613481,9.28494884835592,8.85675497637902,10.167655839423,9.00420295228547,8.65073871120906,9.20800367081715,8.63550775550366,8.85157032763758,10.0321979921657
"DNAJC18",6.37256409091373,6.8774721722747,6.50962413627967,8.25641885453197,8.14767942691061,8.1370050273003,7.45080610708202,7.33821283778423,6.41937287395799,7.43309528321834,8.22145854160236,8.06806284309711
"DNAJC19",9.98797503138161,9.52781510695617,10.4262782127042,11.6801556832884,11.4789966310169,11.2765928077454,10.9287654153694,9.51581258232996,10.588513966292,11.6961940485936,12.1971638582531,11.3919838645978
"DNAJC2",26.5094374893061,25.9498767085585,25.6033127588493,28.460692979786,29.0988550961093,28.4723167061464,27.6724588441995,29.1887856169588,28.7146141458766,33.4176972816959,32.3157330266633,30.4289860786472
"DNAJC21",44.7259590825241,48.4274686862368,46.4196038687353,45.9316134228229,46.9996680241986,44.8183356547939,46.4231959845313,47.2807615767805,46.1642642806785,47.3000958253537,46.9733333827682,45.8852188286253
"DNAJC22",1.43758179828693,1.59356062528316,1.59567388298778,1.08488780170471,1.16395420384437,1.09453518951296,1.36094059889506,1.52133680783332,1.40812050138433,1.21802821867864,1.1402022794923,1.02739377028203
"DNAJC24",10.3634628145163,10.4168541926405,10.0998903730022,11.2152037682721,12.2549661002465,10.6285127613232,9.47159669332013,10.3361412532205,10.5056833485635,11.1652586712208,10.9819482708995,9.85089320917475
"DNAJC25",9.01170679523153,8.65555034364329,7.81517549508785,9.20041213653477,9.28487606285052,7.64734454778134,8.31685921546978,8.81480444538716,7.62041683102109,8.22949834927745,8.26646652631916,8.2946938218358
"DNAJC25-GNG10",1.52340757728914,1.72775520425438,1.92206172268982,0.662204242598981,0.735833117372879,0.820901392134721,0.907293732596703,1.9837038768807,1.76705317820779,0.655861348519265,1.11019695634776,1.82815656182538
"DNAJC27",3.4759440495893,3.69035092170838,3.39080700134902,3.1560372413228,3.93336248195685,3.08198066520755,3.58793430617787,3.41555028425323,3.31322470913961,3.26369099620301,3.52562546948276,3.74696551514622
"DNAJC27-AS1",3.61541094046789,5.13294264564893,4.53316444030618,2.62063806645554,2.55534773487673,2.79394508901993,3.5191999324963,4.37011455583492,4.81798093120718,3.09191778587654,3.07554562231475,2.84044160019149
"DNAJC3",130.701933197983,129.984224055992,125.206001841257,80.4085023938805,88.5006558440291,77.8416144647046,112.655638464091,118.84325181192,113.602192214624,77.1574029293736,80.99936982867,82.5390024566283
"DNAJC3-AS1",1.48049468778804,1.19097688836952,1.14235743895716,1.45121355292968,1.41815109893682,1.16654408355987,1.12724372837772,1.26778067319443,1.24245926592735,0.968176276385582,1.03518364848643,0.800762791543346
"DNAJC30",10.2561805907635,9.81297858727,10.1905536618083,10.693894045375,9.37852755051616,9.86521848442603,10.25516855329,9.5008975155865,9.93967412741882,9.7598414958224,9.25664219008879,9.30697886020191
"DNAJC4",6.79096476354947,6.45811411298966,6.29203224314498,5.91756982748025,6.14086183407549,6.32238089731829,6.54351237448532,5.23518842695583,5.60487179962783,5.09073332422096,4.86086234941453,5.60533954080343
"DNAJC5",175.910662287395,176.918778051174,174.99828005358,153.828636610546,140.90535258493,154.214247490852,185.63779643918,182.515671739768,181.633739575624,164.324499296863,157.392922554654,154.214826665716
"DNAJC6",10.0738008103838,11.440087857296,10.6801354213614,7.2560677646484,7.9469976676271,7.28730007754682,9.25164669753911,9.97817965137734,9.26322408263615,6.9021599058456,6.87121900009832,6.70827697066502
