"","logFC","logCPM","F","PValue","FDR"
"PRKAG1",-0.0447289214732624,5.04541754145304,3.30078073630859,0.0873505467073609,0.170554472378599
"ABCF2",-0.0427240782952288,6.51468277592802,3.29961740223176,0.0874015756518461,0.170630000778148
"C12orf60",-0.212284787075875,0.143042143543396,3.29809209127144,0.0874685359197742,0.170736605425322
"OSER1",-0.0661589659287301,4.28673635258876,3.29526073103148,0.0875929919048491,0.170955394453469
"PPFIBP1",-0.0443141764128329,6.66372425889748,3.29409003549398,0.0876445124898956,0.171031793647325
"TBX1",-0.141277406670841,1.00256299259754,3.2921514921873,0.0877299037622322,0.171174193133226
"GATSL3",-0.147861094798868,0.910758132870513,3.29187124758349,0.0877422564512135,0.171174193133226
"ZNF667",-0.122857856528821,1.96316144256172,3.29087753606526,0.0877860740907875,0.171235503731077
"PEG3",0.119732218142448,2.31421615792591,3.28942285013379,0.0878502650542342,0.171336531618617
"RAB29",-0.0482832162962406,4.66385163452599,3.28681364210306,0.0879655408118152,0.171537148866839
"MTA2",-0.0375972847728174,7.47613103943674,3.28395417656406,0.0880920786099098,0.171759667944266
"MTHFD1L",-0.0381483826697382,6.35639445745612,3.28271109146012,0.0881471550785282,0.171842810436629
"PLCH2",-0.0585484383758073,7.38889109618894,3.28098581664702,0.0882236631010344,0.171967704380296
"VSIG10",0.0630778578555993,4.05322287777829,3.27901837596834,0.0883110059740819,0.172106784320798
"CHRM3",0.0597898016725765,4.42240046838531,3.27881768010504,0.0883199214474021,0.172106784320798
"TM6SF1",0.235263852443603,0.153970906524229,3.2784842034981,0.0883347377689366,0.172111388124447
"DKK1",-0.0457622672749078,6.96016980992113,3.27723512647069,0.0883902602408033,0.172195291306442
"SNRNP35",0.0681009404739019,3.10484414600229,3.27693497317786,0.0884036084475307,0.172197021669468
"SLC25A39",-0.0430524776922635,6.76681211207747,3.27648423141886,0.0884236579995889,0.172211802924791
"BST2",0.174541282185575,1.14825914294962,3.27076504133669,0.0886785225244182,0.172683835604827
"HARS",0.0380280940405272,5.91920224937776,3.27012214690387,0.0887072261759072,0.172715393878704
"RIOK2",-0.0663697635729139,4.39462437794603,3.26932969553596,0.0887426223069352,0.172756363941381
"PLEKHA1",0.0726999469387715,5.87248222164858,3.26909139934073,0.0887532694633721,0.172756363941381
"EPHA10",0.0868279047613871,3.83178325482318,3.26845502707746,0.0887817102066083,0.17278738699554
"RPS27L",-0.0729598999809803,4.50898023900788,3.26531039535442,0.0889224085024195,0.173022986979244
"ZNF346",-0.0742114841655775,3.65670232572703,3.26518988152993,0.0889278058258736,0.173022986979244
"STARD4",0.078505523865792,6.16962920190133,3.2638630167132,0.0889872563417728,0.173102295832429
"PSMC1",0.0392710448738931,6.39639961067358,3.26372107624883,0.0889936188053118,0.173102295832429
"C11orf58",-0.0370438345407577,6.48195181182492,3.26306057995292,0.089023232552424,0.173135529675556
"DDX21",-0.0508492409211347,8.2666403489255,3.26165885151882,0.0890861185397288,0.1732334540902
"PRMT6",-0.0546347289231395,4.15704387778415,3.26021239129464,0.0891510664715858,0.173335359965858
"SYDE1",0.0612792799325857,4.01357417857947,3.25980589800719,0.0891693286330064,0.173346479351266
"VPS4A",-0.0368076247209103,6.42123230519554,3.2592411980292,0.0891947057548028,0.173371425250545
"GCSHP3",-0.227218044800876,0.404102447087008,3.25849660935654,0.0892281799863708,0.173412100606334
"FAM86B3P",-0.197623001449125,1.40703094303443,3.25630583821236,0.0893267560583476,0.173579270068386
"BMP2K",0.0654284273164719,5.38964461447867,3.25469614492216,0.0893992680871024,0.173695752138866
"MAPKAPK5-AS1",-0.11495388257999,2.58431052479466,3.2502871411852,0.0895982380921257,0.174057864834577
"CAMK1D",0.101459588184617,5.25154003753219,3.24992216960718,0.0896147320543956,0.174061231887811
"LOC100132077",0.0757589036241954,3.21816449312102,3.2496914415012,0.0896251610791361,0.174061231887811
"AURKAIP1",-0.0408442802449197,6.19892956370018,3.24930714446281,0.0896425346859887,0.17407051136158
"ICT1",-0.0506815022460955,4.42751751567513,3.24784599857437,0.0897086277485893,0.174174379809708
"MUM1",0.0486179442339307,4.73103381672512,3.24637000719273,0.0897754509191909,0.174279636424107
"EPSTI1",0.076706353125939,3.48546877154628,3.24551912819617,0.0898139999000233,0.174329982952011
"ARAP1",-0.0483934346051315,6.70384473016674,3.24509784444185,0.0898330933695673,0.174342557276706
"UBE2N",-0.0478765328688966,6.19419202715202,3.24319181728178,0.0899195386375233,0.174485821955992
"NRGN",-0.245186334152798,0.318330972420828,3.24091397903232,0.0900229761339142,0.174662014624553
"LPP-AS2",0.163597483464369,0.820339245330151,3.23707610647472,0.0901975742912754,0.174975883203652
"CRYZ",-0.077524892679125,5.05140533368476,3.23680177288695,0.0902100700308264,0.174975883203652
"ZNF174",-0.0890615946860875,2.53744394140177,3.23535446084273,0.0902760282276931,0.175054637148686
"HSPA4L",0.0502739394795426,5.43832299799689,3.23524537355177,0.0902810019656227,0.175054637148686
"ARRB1",0.186423325485172,1.35184514199552,3.23507715286297,0.0902886724743727,0.175054637148686
"SMIM13",0.0746933381206471,4.14332608864968,3.23345391320918,0.09036272845619,0.175152511497658
"AP2A2",-0.0437418914490147,6.1751445076478,3.23341507496796,0.0903645012285313,0.175152511497658
"LY6G5B",-0.140949227217557,1.31077276834558,3.23225576661249,0.0904174368555451,0.175230539523718
"NDUFS1",-0.0421180072822058,5.8095733105616,3.23179367621863,0.0904385467814819,0.175246875563668
"KANSL2",-0.0585729788333663,4.18636616380126,3.23139389468047,0.0904568149286735,0.175255814437186
"FAM111B",0.07643308761746,4.51546769615961,3.2311377367672,0.0904685224453605,0.175255814437186
"LOC100129046",-0.0896853798974571,2.82079076014388,3.22841578039104,0.0905930384810792,0.175472430526772
"SUOX",-0.0769648728473642,2.47751957354127,3.22804467307263,0.0906100305263979,0.175480748581112
"SHPK",0.0505156424384085,4.50035263814597,3.22666019666047,0.0906734554504811,0.175561584158748
"RPL34",-0.0383541107179807,7.61505975983523,3.22657899363018,0.090677177114699,0.175561584158748
"IFITM3",-0.0429935891487829,8.4464432868016,3.2250334894649,0.0907480445434364,0.175659771790623
"SNURF",0.0615363699071405,3.91553220459967,3.22491867381712,0.0907533119091932,0.175659771790623
"MRPS23",-0.0496303613214226,4.56451024228014,3.22394383773794,0.0907980487913684,0.175695331342289
