"","fpool2_eGFPorf_IL17_24h1","fpool2_eGFPorf_IL17_24h2","fpool2_eGFPorf_IL17_24h3","fpool_eGFPorf_IL17_24h1","fpool_eGFPorf_IL17_24h2","fpool_eGFPorf_IL17_24h3","fpool2_TNFAIP3orf_IL17_24h1","fpool2_TNFAIP3orf_IL17_24h2","fpool2_TNFAIP3orf_IL17_24h3","fpool_TNFAIP3orf_IL17_24h1","fpool_TNFAIP3orf_IL17_24h2","fpool_TNFAIP3orf_IL17_24h3"
"GSG1",2.58441245042697,2.93826814846239,2.71960528208543,3.10753353226985,3.22557223803742,2.90087652785514,2.8503462436571,2.82637963086736,2.82267759189486,3.42744077622275,3.6395483346096,3.48034593023214
"GSG2",22.8885464359623,22.6261562498347,23.8414128028504,20.81578994229,19.8035132753925,19.0218934821335,24.1782277296262,22.2211915806124,22.3188460754477,16.6404733338351,19.4399827213878,18.3015909563158
"GSK3A",65.4351237448532,64.6418992661725,63.7933807538922,61.0263369050783,61.0908379222716,60.8579721572943,63.4202039213704,62.8788250062504,63.0835619956037,59.7368156157316,59.9980632645523,59.6555112299866
"GSK3B",132.27242871281,135.190164962757,131.880148526711,136.387928999221,139.2997126985,141.870992690416,131.331360354549,134.772826421302,133.929487368918,137.345996322549,133.628087506939,136.289287967531
"GSKIP",12.4271747616276,12.1408643291796,12.0380497765406,15.2097369870896,15.7978026355972,15.0180795244167,12.130543316029,12.8486568276786,11.438408613667,16.084135120883,14.7543366618605,14.9668108254469
"GSN",63.8129925259681,60.2121244433637,60.0521978531553,68.4125849491167,66.5518067345768,71.932672651658,63.1881989945611,62.0016727070157,64.4620789590873,103.836553603131,95.8596008968883,98.7730114952573
"GSN-AS1",4.02783429773991,4.41485975606531,4.58329418097645,3.98201533029554,4.29076120966839,4.84990294500782,3.99379909721721,4.58068422933676,4.80839845596043,6.47736633651372,6.25479264690393,6.7886595521258
"GSPT1",237.271057948774,236.985495486898,234.603919612994,238.280674215606,241.662872606078,233.475234296591,236.926745613753,237.139748454211,238.860885755987,216.56458400255,225.78275896141,219.195627332187
"GSPT2",3.79413742722258,4.14638855468296,3.67215738596306,6.27753005011297,5.14591291928761,4.9556640684192,3.94408375575808,4.20708232410717,3.57757973856442,5.21567074642593,4.80551142384082,4.49930652577538
"GSR",48.6089490676052,46.2814521049685,47.9175123559315,50.7824072710631,51.2340892692921,48.5443556458259,43.6500698011209,46.6839945926023,42.7996695329174,45.5501911854531,45.6578069521384,44.7019336590272
"GSS",44.0999741540943,42.0157430163378,41.1668170110596,45.3325117797959,44.4378835770551,46.3082633222709,40.982013142814,40.9662610864798,40.2887993494295,49.7624662263761,48.4038134800475,47.2559517751291
"GSTA4",5.16882490085395,5.32467882741661,4.51426866620271,7.82348894305124,7.45632280141674,8.11338903884485,4.55723963375408,5.08423462334187,4.92327486958406,9.81539561422632,9.4257763755608,9.27651139578984
"GSTCD",28.4697775789056,28.2193062786337,28.6731988370123,31.1065668154852,31.4605813170441,32.4837736192112,28.4206035341391,28.44247548074,26.6841497931456,30.2210864964337,28.8112748404425,29.2190259085648
"GSTK1",31.0816837788052,28.7711637481418,29.4876999113425,34.3858735580815,33.0808687668489,32.6197522064544,30.823511704664,30.0830751515308,29.2442527253293,36.5991067234917,36.2211337252764,35.7959533888895
"GSTM1",3.07929994093427,3.40063521750977,3.3408349150491,0.780787319665792,0.855151709619224,0.846088987291083,4.25894758499927,3.23246865829083,3.74168890088388,1.02326492739404,0.937129211905467,0.846928287204778
"GSTM2",1.93830933782023,1.80472307595913,2.139790957986,1.24925971146527,1.17020760263683,1.26913348093662,2.12118790225645,2.29034211466838,2.42881560232814,1.63921080601958,1.58004343867782,1.81295586479773
"GSTM3",14.461712222602,15.2282831450766,14.315891764074,13.9292457828377,13.9524752622084,14.3381865882007,16.3066319985964,14.7816405982144,16.1975743209316,14.4250550929723,15.2555918217169,16.3298360376671
"GSTM4",4.53646866298352,4.89214189185616,5.21832891689488,0.82763455884574,1.17020760263683,0.725219131963786,4.83895990202252,4.49946642385207,4.33248188523397,1.35110708859795,1.01340717101405,1.08512686798112
"GSTO1",50.4235365327986,49.4285311878393,48.9667001804924,51.9067410113819,51.3241052387257,52.4272997482153,48.3233118982796,47.5124162085462,50.5456219943963,61.7038685829551,59.3660458890812,56.4662968984811
"GSTO2",13.6231528636869,12.5435711312531,12.8111355420065,14.6788016097169,15.1376855264175,15.2144930393236,12.7768427549978,13.1410409274235,12.8333364933824,19.0744530155005,17.522136892372,16.4092355645926
"GSTP1",565.3402235309,551.41001750586,541.242866443864,590.884227776678,566.755546215534,560.866346182493,553.1826044158,537.873038602937,569.754189740731,662.469661683657,625.086978043549,602.046912912209
"GSTT1",4.55021553771983,4.71316109093459,4.44524315142897,5.43427974487391,5.07089961142627,5.86218798337393,4.65667031667235,4.84058120688778,5.53047877016609,5.83161662505147,6.2003083903978,6.41812842647371
"GSTZ1",5.3200405229534,5.08603775952119,5.06647278439265,7.35501655125176,7.3363015088386,7.9320842558539,5.71726426780057,5.05174750114799,4.89045303712016,9.96441477840992,9.18604564693382,9.05154606950107
"GTDC1",4.81140615770979,5.41416922787739,5.9085840646323,5.98083086863997,6.43614181450258,6.33055867276721,5.12068017029095,5.37661872308677,5.4648351052383,5.89122429072491,5.51380675842054,5.08156972322867
"GTF2A1",32.387636878755,35.8707355180307,34.9131053725586,33.7612437023488,36.5014756053258,36.8804146067417,33.0607020703251,37.3114598396686,36.1040157102831,35.4069534100229,31.1540978702062,34.4196949221817
"GTF2A2",21.6513277096941,19.9414442360112,20.4315523730276,24.2824856416061,23.6591972994652,22.7990764611115,20.5490078031093,19.8983623437501,21.1044382742837,21.6077788066217,20.7802954314387,20.657110255104
"GTF2B",14.1042934794578,13.7815216709606,13.6532468222461,17.6926406636268,17.6431300089861,16.9822146734853,14.3345901207174,13.5796170770409,12.1440780116407,16.3225657835768,17.1516439481303,17.3223301242352
"GTF2E1",31.6315587682578,32.3209496330863,35.0373512991513,33.3552342961226,30.8004642078643,30.7009432531336,35.861332972523,31.7236748223216,33.1500507885327,28.9494562954003,30.9361608441816,32.0906421323685
"GTF2E2",27.081343230538,26.235602401753,26.2711109228861,29.6386866545135,30.1553497602568,28.1173500955126,24.9902449734587,24.4628030119899,26.4872187983622,28.3931180824482,28.9529339073584,27.564869097618
"GTF2F1",73.3945642171788,73.0838270429731,71.9521966001484,78.5003571191987,76.6335953111403,73.1866974006787,77.2079252860373,71.9914627816331,78.1487830965309,68.340188694598,70.6006995806456,69.5407523322048
"GTF2F2",35.4944305691619,39.8828884720224,36.9010401980424,48.0184201594462,47.1083573369186,46.0665236116163,40.7002928745455,38.3023170665818,39.0908024644974,45.1627413585758,43.3585713275797,43.1271763750058
"GTF2H1",39.3435554953298,39.450351536462,39.7863067155848,45.8478314107753,45.9831577189986,43.8606487518931,39.6894142648765,39.7317504431125,40.9780578311713,42.7188270659647,41.1465105134307,41.3936200371335
"GTF2H2",7.51954048076359,7.20397723709306,6.39176266804849,10.3063926195885,10.6668923778819,10.4250250219794,7.02643492622447,6.82229566071432,7.40132322060803,8.56363463508409,9.06618028262033,8.81334748872472
"GTF2H2B",26.6689369884486,25.8776407999099,26.1744752022029,27.7335655945289,29.1201661117704,27.4676746231284,26.5479923391783,25.762287899745,25.1743454998065,21.6177134175673,23.4064365950342,23.303761152619
"GTF2H2C",6.84594361868422,6.83110056850646,6.18468612372726,5.87152064388676,5.44596615073295,6.28523247701947,6.21441768239193,5.86392555599493,7.33567955568025,5.18586691358921,4.97986104466045,5.96819777389617
"GTF2H2C_2",9.62281231541958,10.5747823211159,12.5902538947305,16.958700583141,17.6431300089861,16.000147098951,13.2077090476436,11.7278511119899,10.502986388446,12.1698984083272,14.0896287324857,11.8040630029166
"GTF2H3",35.673139940734,38.3615516641891,36.8734299921329,42.3342884722792,43.2376706512737,42.1382533134791,37.8002312894293,38.2860735054849,38.4835985639154,43.4440536649916,41.5170034576724,43.3786082102697
"GTF2H4",19.1631433824213,20.8363482406191,20.2382809316611,17.5677146924803,18.1082125177264,18.1606957629265,19.6541316568449,19.1024278500001,21.2357256041392,17.5941959846101,17.6855896618904,17.2164640883346
"GTF2H5",13.5681653647416,14.0052476721126,14.2054509404361,15.5064361685626,16.5179303910661,16.7706924266625,14.0197262914762,13.3034765383929,13.7523478023715,15.8357698472437,15.8331249406819,16.1578037293287
"GTF2I",192.030093191566,185.289874154052,189.019469656414,182.048371453276,180.887090576824,186.879905067918,187.360550178995,192.291276265562,193.058018552623,176.339344283924,172.268322221088,176.994778771311
"GTF2IP1",31.8102681398299,33.7229659069719,25.8569578342437,34.5264152756213,38.0617524088416,37.333676564219,34.6847365579901,30.8465225230869,33.5110909456355,40.0464167216056,26.381277000269,43.7888390993845
"GTF2IP20",9.05919045123072,8.81480444538716,9.56693634764061,8.44811879878387,9.10661557436612,9.71491462193154,9.97621185279984,9.4050218751276,9.81372790670422,11.5936909734839,11.4525907175889,11.8702292753545
"GTF2IP4",3.60168118091419,2.34166547872383,9.77401289196184,2.8576815899768,0.0150026615722671,1.17848108944115,1.9223265364199,3.63855768571431,1.46057154464327,3.88443287971912,19.4181890187854,3.05688178662975
"GTF2IRD1",40.7457367184338,41.3743951463688,40.6008077899149,39.2892179255827,37.581667238529,40.0532483090832,41.4957383378917,38.7733803383931,40.0262246897184,43.0963422818965,41.3099632829491,40.4275924595406
"GTF2IRD2",5.41626864610759,4.22096388840028,4.18294619528875,4.0444783158688,3.40560417690463,3.91316156622126,5.22011085320922,4.77560696250003,5.13661678059937,5.55344751857542,4.50039958740649,4.92277066937777
"GTF2IRD2B",0,0.939649204838225,0.883526589103895,1.24925971146527,1.03518364848643,1.13315489369341,1.37545778036941,1.10456215459184,1.03388772261265,1.72862230452974,1.38390011525575,1.41595823017049
"GTF3A",46.2169928634866,45.431293300591,46.7440786047779,44.7859606560298,44.2578516381879,43.6793439689022,44.312941020576,43.5327437397962,45.409005213797,43.5831382182296,44.001485554352,43.8550053718224
"GTF3C1",158.913871951786,155.772957068737,158.675853361878,143.852255775226,133.688717270472,140.813381456302,154.813573303748,148.969698820026,157.922246900025,125.5635477411,129.868673808016,128.336102020499
"GTF3C2",56.444667667304,54.723379881769,55.7450057312739,57.2317105315026,55.6298691099663,55.1317627611636,56.393768995146,56.1377471510207,57.4053849793501,48.0537131437375,52.7189665953331,51.7023252829542
"GTF3C3",27.3700276000006,29.9494540208755,27.7344518360894,37.8994164965775,38.1817737014197,35.44508507473,27.8737347780886,26.7369015655614,27.0616008664804,37.5428947633211,36.0685778070592,34.1153300689675
"GTF3C4",49.0213553096946,48.101090247671,50.4852615055147,53.1716164692404,51.2640945924366,51.8682766673266,49.4999083128125,51.0697560887758,51.9077280416479,40.8411855972514,43.3912618814834,43.960871407723
"GTF3C5",50.6572334033159,47.9966847804668,50.8303890793835,50.8604860030297,47.408410568364,45.2808695519889,52.2508238735513,50.5662056947707,52.2195354500549,42.1624888530126,44.6226060785219,43.2727421743691
"GTF3C6",19.6030433739833,20.4634715720325,19.9345686666566,26.1719909551973,26.5547109829127,25.8510403081258,19.4718420714947,18.4689289672195,21.1536710229795,22.8297359529272,22.9923562455876,21.7819368865479
"GTPBP1",57.9430770135622,58.6460424353,53.5776045673784,51.516347351549,51.0390546688526,53.1978450759268,57.9018010194064,56.4626183729595,57.2248649007987,57.9783894783652,58.298154461561,58.5306845985427
"GTPBP10",25.7616432558519,25.8627257331664,26.1054496874291,26.7185420789634,28.0399744785672,27.3014785720533,25.1559627783225,24.9501098448981,24.69842892908,25.3729963549939,25.0518611415194,25.9636453046215
"GTPBP2",36.7041555459575,35.527688982931,35.3548686671105,35.3228183416804,34.0710444306185,37.8171559855282,36.3916299480871,37.4089212062502,35.5624554746288,33.7180695492754,36.9403259111574,35.2533899548989
"GTPBP3",22.654849565445,20.9258386410798,22.0605545216879,17.4271729749405,17.7181433168474,17.6772163416173,22.2559011932063,22.594793485842,20.4151797925419,17.643869039338,19.2329425466645,18.5000897736294
"GTPBP4",83.264820277852,82.9874313606331,81.8918707275673,99.2849155687021,98.5374812066502,91.2869582359415,84.7149418463668,83.6380960881382,86.6496377046794,81.9406710790877,82.7071013763081,79.8759240870006
"GTPBP6",27.9886369631347,27.7420241428428,29.183987646338,26.156375208804,23.9592505309105,24.0379924782163,27.890306558575,28.1176042588012,28.9488562331543,25.1345656923002,24.408946914747,25.4607816340936
"GTPBP8",7.68450297759935,8.03922097472704,7.15104333055965,7.72979446469134,7.92140531015702,7.53925722604019,7.0098631457381,7.95934493750004,7.23721405828856,7.42115437634318,7.09385019709836,7.84731991113177
"GTSE1",46.0795241161235,45.0882467654913,46.3851459279545,39.7733060637754,40.0120984132363,39.9021609899241,43.915218288903,43.2403596400513,45.5402925436525,33.2511428348335,36.7005951825304,35.3327894818243
"GUCA1B",1.49840934625819,1.80472307595913,1.69802766343405,1.65526911769148,1.81532205024432,1.75261290224581,1.95547009739266,1.72181747627552,1.52621520957106,2.37437201599199,1.89605212641339,1.83942237377288
"GUCD1",61.3797956976406,59.1382396378343,59.7622906911056,54.0304825208728,53.7695390750052,55.8720906250433,62.0116025800283,61.4169045075259,61.9840306080633,58.0479317549842,59.4641175507922,58.3189525267415
"GUCY1A3",0.192456246308392,0.387791735330061,0.220881647275974,2.43605643735727,2.2804045589846,2.03967880864815,0.21543314632292,0.243653416454083,0.328218324638937,1.81803380303989,1.64542454648518,2.27611977186284
"GUF1",44.8148116403826,43.9099564927577,43.4446589985931,50.7355600318832,51.2790972540089,50.6595781140536,45.2243889473269,46.7164817147962,45.8356890358276,48.6895282442542,48.1967733053242,49.280639711728
"GUK1",142.843775385036,137.666066042172,132.252886306489,144.508117123745,140.469920301137,139.906857541347,135.673166841981,135.779927209312,137.277314280235,165.500683742304,158.636361243253,156.099469935431
"GULP1",4.75641865876454,5.27993362718622,4.23816660710775,3.71654764160917,4.00571063979531,3.86783537047352,4.772672780077,4.69438915701533,4.92327486958406,3.93410593444699,3.34533334947649,3.94350983729725
"GUSB",16.5099965583127,16.6899596859361,16.8698358107025,15.475204675776,16.5629383757829,15.6375375329691,16.3232037790828,16.6658936854593,16.3124507345552,16.9881847169302,16.1600304797187,16.2372032562541
