"","fpool2_eGFPorf_unt_1h1","fpool2_eGFPorf_unt_1h2","fpool2_eGFPorf_unt_1h3","fpool_eGFPorf_unt_1h1","fpool_eGFPorf_unt_1h2","fpool_eGFPorf_unt_1h3","fpool2_eGFPorf_TNF_1h1","fpool2_eGFPorf_TNF_1h2","fpool2_eGFPorf_TNF_1h3","fpool_eGFPorf_TNF_1h1","fpool_eGFPorf_TNF_1h2","fpool_eGFPorf_TNF_1h3"
"ATXN10",62.2874824164063,62.492031362636,61.9456353529004,60.0732786439839,60.1617595193318,60.869687173059,64.0525601241361,61.0854863524662,63.0615444094105,59.2555727232711,58.7570404177978,59.3696655665978
"ATXN1L",66.4657106280671,67.5035841351475,65.7923664561854,68.5005764529905,66.9853241077504,66.6233407845933,66.1800920936681,64.9392672859785,63.6774024992758,66.7400952101024,67.4469202875644,67.0546278883497
"ATXN2",44.4838674261565,48.1176789847227,47.4777575334022,49.6542834019744,48.4167155981357,48.4232778662688,44.8166497723908,45.376741213959,46.3868961272096,52.0068809615639,48.8737937744053,49.918938780744
"ATXN2L",179.663813101418,185.427452582928,183.790369314096,176.086775940923,176.774217115171,175.083018059492,186.36676495238,182.081973439566,185.768363824073,180.162261851336,179.883767940824,178.919693592117
"ATXN3",16.3269720881367,16.0674445307888,16.5238892712539,18.2246071470729,17.2251776647214,18.4513719266443,16.8817773440382,16.6385462526245,15.8728707689801,17.116345786634,17.737769771621,17.9130696892859
"ATXN7",46.6484916803905,46.8139980270085,45.2417266457784,52.7051494120656,49.9729671709329,49.7591836473377,47.7750522152312,48.0193338540817,47.6186123069402,55.0602682447488,48.5808764754244,52.9285121755341
"ATXN7L1",8.18865609353617,7.43267455112359,7.84505752098524,8.25460728013347,8.60593818461368,7.155693342161,7.779968977342,8.63736298114183,7.83185570885253,8.67608825587903,7.80027918397279,8.34018309773942
"ATXN7L2",3.67482722230414,4.5882797342927,4.036225246304,3.86826784675711,3.76426662480011,3.75640833488673,4.26765288562935,4.00059163574133,3.85782803462766,3.42575158601232,4.37206190701117,4.03127358785541
"ATXN7L3",53.645765432449,55.7196627511338,53.4941965742544,50.7134519790627,51.9415589040439,48.3306903368878,53.8555134062606,53.6348432143425,55.4272280878732,49.6485737103235,50.728936667951,51.2404857696001
"ATXN7L3B",40.5237796432169,40.3294550814952,41.1202290351159,53.7643179891539,53.9766571146249,53.3304169234624,39.4915253752781,40.0548532581563,39.0546988686252,55.171977535597,54.5368615547026,51.6069651866779
"AUH",3.96008778293962,3.89411195161373,4.0172758320021,4.88138561614588,4.08349771665595,3.99449055329505,3.55008293140848,3.89048360906955,4.3574864848957,4.44354734707395,4.43715464011804,4.18674970419143
"AUNIP",10.2693801828773,10.9373753075759,11.3317497525342,10.0160506746389,10.6011325087127,10.2375353915575,9.90750094687403,10.215578030104,9.36569095153581,9.13533756269953,9.9808857430528,9.80610076605048
"AUP1",68.1437139259229,71.5162125374626,71.1455759964712,70.4577357802188,71.3481490297802,69.1761112375268,71.2030817732141,71.0563798788552,71.9972966944366,69.1356388916255,72.90386107969,71.7633331259549
"AURKA",45.6081296357199,42.8690933108085,44.8722130668914,47.2366159977513,47.0466821622544,48.3968242864456,43.4822214364713,43.3458598331239,42.8892869753334,46.9427264431109,49.7091505159434,47.5423752881791
"AURKAIP1",70.6103787737709,74.8516040786274,69.6296228523195,70.9182438572137,71.7471878946,72.6944373540053,66.0919694677111,68.9153904713483,69.9870429294047,69.6073003418736,72.9689538127969,70.5306296321479
"AURKAPS1",2.5002249138051,2.81053297377339,2.69081683086933,2.98178979854194,2.56715003034071,3.04216167966179,3.10946980162374,3.19313277348161,2.53315214321936,2.82996870148844,2.76644115704181,2.83188640469181
"AURKB",35.5736699145424,34.6745272908909,36.2502295595284,30.4165584855127,31.5506729117522,30.262895317679,35.0602161843001,36.3111803513158,35.6500494284266,30.2732178198698,31.2770582578492,31.8170766644786
"AUTS2",45.8094900314626,44.9854585019029,45.7438861247787,49.7233596135237,47.9910741423279,48.4100510763572,43.0919640929477,45.1442909354297,46.6076754424444,50.2815930251301,49.4379307946648,47.8866438314945
"AVEN",14.6321887573023,14.8484181807184,13.9846677547998,12.629434011585,12.2637944454618,12.6051307857291,14.2003317256339,14.4119172688174,14.7573542288468,12.5238527184291,12.7364781112435,11.9716609578736
"AVL9",39.0974768400395,38.8056721439072,38.2683421826804,38.0955306694026,37.908692157881,36.5720741054994,38.3962870240988,37.6569451217486,37.2768443827877,38.291462474087,37.4500191141503,37.2143189887148
"AVPI1",24.6330884125227,24.8038000396266,23.6393943416161,35.4130711209073,36.6450690859516,34.4293341398245,23.113305893851,22.4987401166003,24.4948840270937,34.2326915732681,34.6944267459596,33.227467148384
"AXIN1",52.1187824314003,49.8615639021845,53.7973872030848,50.6789138732881,50.7311410140906,50.6453785714131,51.9545824749036,50.2459628378888,51.1046014948567,50.4057144594059,51.2171321662525,51.3182238277681
"AXL",208.408009593687,203.289574795765,203.005075416219,148.156961071182,148.349348644508,143.78843312871,208.07010883092,205.853072975485,210.425927346603,158.949908733601,158.674385736837,154.432205269194
"AZI2",28.0058750412128,25.9043099389957,28.1588296526185,28.2751959274865,27.6400920365181,28.3582375704125,27.7334492833081,26.8541242827285,28.6896910165533,27.2074183932573,28.0224216025059,28.7852923959262
"AZIN1",119.473834807331,118.61803623046,114.805026548041,128.113347019979,122.970476841968,126.937502781366,126.317489836003,125.094952524327,125.088912026406,127.944374451504,126.572819526301,127.956843744545
"AZIN2",1.56054306700587,1.38833556535794,1.42120607264225,1.23185910596134,1.43653991335128,1.13750393239528,1.49808464126812,1.43140434673314,1.12713650409302,1.01779576106163,1.39949376179762,1.1771763094013
"B2M",209.347691440486,199.395462844152,200.901690428709,190.846059808609,187.747785897716,191.272608911257,212.085982785244,211.957951343176,211.611163670495,186.182151413713,192.338177541938,185.771748147783
"B3GALNT1",4.53060890421059,4.57134881276394,4.67103062541754,4.05247107755507,4.66875471839166,3.91512981382561,4.49425392380436,4.89369007430132,4.3574864848957,4.29460162594298,4.39375948471346,4.75312698512979
"B3GALNT2",59.2502964472873,58.1238536082171,58.5347407785589,65.115842087078,61.3455748182972,62.6420770212098,62.8817880935652,58.8833258190306,60.0984535996814,63.3639921978004,61.9357355511831,62.6013476990108
"B3GALT2",2.14784422125539,1.81160860357682,2.22655618047286,2.42918010614807,1.88878396014705,2.19564712532112,2.31636616801121,2.26333165936436,1.97539387315272,1.92388223127504,1.31270345098847,1.85460795915111
"B3GALT4",1.17460230849904,1.15130266395536,1.1369648581138,1.082193980938,1.05080234402547,1.28299862142258,1.32183938935422,1.22342251857533,1.12713650409302,1.11709290848228,1.00893736315642,1.09943825123329
"B3GALT6",18.5251564083277,20.2155203053339,19.5368461452555,13.4007850405514,14.7378354073446,14.4833349531724,18.996720367005,18.7061303090168,20.846215343741,14.5594442405524,13.9623912514228,14.2371700816271
"B3GAT3",15.0684696147448,16.0843754523176,16.2585974710274,13.5734755694245,13.873251200235,14.6685100119345,16.0383179241646,15.4273579592349,16.5235887507245,13.740242774332,14.1793670284457,14.8035473625654
"B3GLCT",13.0716456902965,12.6304674604515,12.5445122678556,10.8795033190044,10.9735687825445,11.5734411726264,13.2561607332381,12.09964870871,12.700620607976,12.0646034116086,11.0549158393161,10.7500629009478
