"","fpool2_eGFPorf_TNF_24h1","fpool2_eGFPorf_TNF_24h2","fpool2_eGFPorf_TNF_24h3","fpool_eGFPorf_TNF_24h1","fpool_eGFPorf_TNF_24h2","fpool_eGFPorf_TNF_24h3","fpool2_TNFAIP3orf_TNF_24h1","fpool2_TNFAIP3orf_TNF_24h2","fpool2_TNFAIP3orf_TNF_24h3","fpool_TNFAIP3orf_TNF_24h1","fpool_TNFAIP3orf_TNF_24h2","fpool_TNFAIP3orf_TNF_24h3"
"C1orf233",6.62184303025707,7.35323719959716,7.2020273240798,4.21837694728082,4.38817777419255,4.03081642648898,6.97487645479557,7.3225828694935,7.56625261024288,6.19333789085128,6.45904160366175,5.97939308549935
"C1orf27",17.9589830255044,16.3443992730382,16.0443740386973,21.3994747221433,20.1828491948667,19.5382629561757,17.1345621999007,15.7234361835058,16.3417236741776,20.0334185475739,19.7273982168237,18.9673122712136
"C1orf35",19.4740062380825,19.2949873436507,18.594558091174,17.547276329314,17.6772965856274,16.7530807725948,17.3219039228601,18.0087257823368,18.6392387361919,14.5602362254263,14.4592861930129,13.6001881944691
"C1orf43",87.1904370205056,86.577688544388,85.2837933127243,90.2410429590178,91.2657920039479,89.67166959901,87.6038718361617,87.4364675383697,87.1673759618393,103.532183304357,100.808686200317,107.576967538243
"C1orf50",4.34079684502713,4.68144485219219,4.30583840016159,5.05326405143015,5.5509756701931,5.57036436716185,4.16475061040479,4.65104714128269,4.31863733461352,5.25058878273015,5.63239636588291,5.75793408233271
"C1orf52",9.77104858449243,9.40935565825229,9.89317632418079,10.780296643051,10.6728235454336,9.72714380697861,10.1164530398068,9.30209428256537,9.63919853085737,9.00849147760186,9.91974285334603,9.43154813486172
"C1orf56",2.53638717611389,2.47431204346634,2.24262416675083,2.63648559205051,2.86546624371564,2.84116574505994,2.11840255961766,2.20482165521013,2.28024051267594,3.24724692797276,2.6200450756719,2.47513003539189
"C1orf74",53.0939033711357,53.3429150403636,52.336440554345,77.4833821219289,76.6200756471791,75.8857175848029,53.9976489176013,54.7182016621492,56.7123454781447,86.5888868334027,82.1741410097097,87.8540892562257
"C1QBP",147.382819938215,144.300019736802,145.680865872134,148.551315969868,147.910660937689,143.961728343283,148.691684422687,143.973244726349,148.008338731875,134.983341050287,131.730822467739,132.432483893652
"C1QTNF1",22.8445073177506,22.6986184644753,22.2980917151225,12.8308965479792,13.3998614681968,13.8699273564256,14.194738239615,14.4359490855729,13.8023649214248,8.01336741902956,9.14914136050135,9.874466141195
"C1QTNF6",22.6402345250434,23.918349753508,22.131496777021,19.6564648029544,18.7016661606755,20.0141232287474,22.5530612639568,22.9655511093785,21.1785974889447,26.4755374530683,24.4630946637601,26.80956638335
"C1R",4.61316056863667,5.95925858355978,6.48438759071953,6.18109399914064,5.37101885295492,5.41640957309456,4.1791615121709,3.81418052762629,3.81767540379835,4.08524613519154,4.04916057149294,4.55945006519558
"C1RL",15.9673232966096,16.5999620193118,17.8000283863823,19.5099933811738,19.5876074147712,20.2520533650332,15.9961009603783,17.3649822333703,16.7563128583005,20.1774496613146,22.5015635910646,21.6508743095859
"C1RL-AS1",13.2947542586909,12.7781373136759,14.0324197862409,21.0332961676919,20.3351203479144,21.4277081560924,13.8344656954623,15.642968239885,15.063407023132,25.1399762165633,24.8413899420657,25.2072453604384
"C1S",2.07677339252278,2.64855937047101,2.84492894296391,3.35419555877537,3.18385138190627,3.14907533319451,1.22492665011906,1.36795504155373,1.34741484839942,2.00334185475739,2.07361856256386,1.61534802309786
"C20orf194",23.2700756358905,23.8138013573052,24.4766409056804,22.0439489779779,23.5328145619159,23.1492026715721,24.9596818588966,24.5588163930705,24.5644091592817,28.4919730454384,30.2916441369126,30.0011814289869
"C20orf197",1.03838669626139,1.15003235823083,1.11490458575613,0.64447425583457,0.664455940571743,0.685798628117916,0.893475909498606,1.02998967834634,1.0537475096457,0.798717994380397,0.756590556611138,1.28967301844104
"C20orf24",54.4386992564578,51.5888252818499,52.2979955686293,51.5139990402314,51.6752922115482,50.2872340985239,52.0954098844752,52.5777543618358,51.2881369858701,40.4727429611444,40.4215510337617,40.8266185837799
"C20orf27",35.5775113964968,37.3934763752026,35.8819866680132,35.2996126491207,35.3269075070643,35.4795820873249,34.6005751404218,38.6407065267119,34.6354714236004,35.0388418518351,35.8820076940949,34.8472254982805
"C20orf96",1.77036420346204,1.91672059705139,2.21699417627367,1.40612564909361,1.06589807133384,1.27362602364756,1.91664993489217,1.85076270327858,1.90020042722995,1.16534264753861,1.4851592407552,1.32875401899986
"C21orf2",7.04741134839698,7.37647017653111,6.27934766690231,8.6271667428764,7.54434349190833,8.10362052408721,6.28315317002246,7.27430210332102,6.87527063670472,8.36689833457498,8.92496638076472,9.01468412890098
