"","fpool2_eGFPorf_unt_24h1","fpool2_eGFPorf_unt_24h2","fpool2_eGFPorf_unt_24h3","fpool_eGFPorf_unt_24h1","fpool_eGFPorf_unt_24h2","fpool_eGFPorf_unt_24h3","fpool2_TNIP1orf_unt_24h1","fpool2_TNIP1orf_unt_24h2","fpool2_TNIP1orf_unt_24h3","fpool_TNIP1orf_unt_24h1","fpool_TNIP1orf_unt_24h2","fpool_TNIP1orf_unt_24h3"
"BTF3L4",33.7295311478666,31.3679828345212,32.1673348684126,36.2521599193016,39.7885034739444,35.8172238989307,33.065416692181,32.5151540678186,32.0390879879468,33.5261712228487,37.024033182526,36.0572922532917
"BTG1",29.8351864256415,28.5163480313829,28.7946605248248,37.7315523761717,39.4005187393296,34.6650815941802,30.6856585935834,32.528770128986,30.4866908808155,38.514211331614,37.8642949285124,39.6290692260284
"BTG2",41.6898721503211,40.879023619106,39.9825103635005,61.0214164828976,60.7129215752387,59.5801589344095,38.8032778854663,41.4336741324841,39.7652489749768,64.7491217397375,59.8861548545728,64.7537361445179
"BTG3",30.5217926576592,29.2040952486104,28.2325481342269,40.3944587985378,40.2701396962249,38.6831778819975,27.8828323885685,26.4696229094805,28.8745861926408,39.481836598615,40.5426292438441,40.2945333768424
"BTN2A1",10.2883652578893,11.2891189559534,10.8977273144961,10.8911463729577,10.5558605383128,10.5421020884669,9.70412469094796,9.53124281719975,8.9322541241089,10.6711349867848,10.1881736700852,10.0770285694699
"BTN2A2",4.98862340450317,5.06584535616332,5.22220543523272,5.50897572034471,5.73949831550846,5.12703325613966,5.56598977505326,4.83370171443702,5.39756532633318,5.54680962914611,5.40918498978749,5.20148509717919
"BTN2A3P",1.7165155800441,1.52646333579756,1.66820451403267,1.49348190884025,1.63221164217257,1.25295475641615,1.85092296557591,2.04240917511423,1.88675956097487,1.58090888693108,1.10284354160716,1.46673731199831
"BTN3A1",7.08062676768192,6.97811810650311,7.03547121135519,9.0031598089521,8.73634592080892,8.54025483396297,7.33758747067591,7.52968182558781,7.51121369527339,7.82277328533137,8.91027559806419,7.80901809628729
"BTN3A2",12.1872606183131,12.2117066863804,12.8197890371859,11.130667056451,10.8903301371186,10.5132985308482,12.5994970442417,13.0305705372288,12.8848959891892,10.9300769596442,11.2034899464854,10.6338455119877
"BTN3A3",2.77860959519639,3.55615634273716,2.70176600642248,2.74744313418726,3.11725666087056,2.80834686782931,3.08046464985133,3.29508680251763,3.20032634393206,2.88924727611542,2.62581795620752,2.7297611084413
"BTRC",21.1989674135447,20.3640273588817,20.7074951633186,26.1218439527343,25.2591441018181,26.5280765668799,22.6077019366771,21.6903854397132,21.8887992105503,28.4427314398721,27.4135394628065,27.3790964906351
