"","logFC","logCPM","F","PValue","FDR"
"NOS1",0.213724511626338,5.40469430629962,60.1915463612721,1.75432281089161e-06,0.000235470998646374
"EIF5",-0.163665368509153,7.43070555303624,59.7330647581213,1.83436476185217e-06,0.000243847046467367
"XAF1",-0.237928888471372,4.35349204895701,59.3965329074635,1.895771478689e-06,0.000247612494286783
"LTBP1",0.246986207275761,3.9385569785504,59.3511405800318,1.90423232444559e-06,0.000247612494286783
"MARCH9",0.22734146021089,4.32415039502056,59.2861450471,1.91642219809662e-06,0.000247612494286783
"NQO1",-0.197889451601708,5.30370745952477,58.5267241742859,2.06565171046542e-06,0.0002644225453443
"C1orf233",0.348389282320062,2.79031478997803,58.0236238902884,2.17181246873969e-06,0.000275461535599323
"PARVB",0.329264589849716,3.00877094440567,57.6496878061752,2.25475709237196e-06,0.000283381970927658
"ARAP1",0.162309207418766,6.70384473016674,57.4357540939034,2.30383354179774e-06,0.000286941429868051
"AJUBA",-0.126581156070936,8.07845998502117,57.3384000879547,2.32656925125646e-06,0.000287185891951969
"TJP2",-0.135773465829205,7.82761124376762,57.0367597906668,2.39865529484104e-06,0.000291805999421071
"C14orf132",0.482030776600863,1.11140464992512,57.0057384296709,2.40621221945765e-06,0.000291805999421071
"FN1",-0.353421059588151,12.2191897324684,56.7934613022951,2.45865873639996e-06,0.000295573539397648
"SH3BP2",0.225041327513967,4.71280001637624,56.4547441854602,2.54506849827566e-06,0.000303323896453974
"NFKB1",-0.171101033096055,6.19495664944708,56.1475508701743,2.62644303129265e-06,0.000310346794082229
"NEDD4L",-0.177272661034699,6.99192669484649,56.0437602357004,2.65460473159149e-06,0.000310879219390566
"SLC16A2",-0.176983321086178,5.63745634462946,55.9660253541074,2.67592239475424e-06,0.000310879219390566
"ZFP36L1",0.1324895532465,8.99774078144903,55.7328309567627,2.7410537787667e-06,0.000315792237428747
"COL6A1",0.425455927696328,2.54105226296724,55.350680071853,2.85173906702956e-06,0.000325828864476725
"MTUS1",-0.199122598025677,5.07789204531417,55.124021418082,2.91979402246439e-06,0.000330870101316149
"TCTN1",0.302104360065729,2.43990055355089,54.7921426201728,3.02281171994751e-06,0.000339759122181092
"CGREF1",0.62812584340792,0.679705860407695,54.6941304863239,3.05402420237161e-06,0.000340499069336996
"POSTN",0.311190286844092,4.23867460038301,54.3507423604822,3.16631545352455e-06,0.000350194489159815
"GRB7",0.274395904929889,3.91619023487916,53.8162613459914,3.35059957953266e-06,0.000367635231643167
"NR1D1",0.366563824072723,4.54964426399259,53.6721083486168,3.40237713544689e-06,0.000370376881083096
"CRAT",0.423981182181935,3.01606563204722,53.4347465416367,3.48963590652373e-06,0.00037440935125638
"EFS",0.256311321706927,3.93491440418805,53.4241660408888,3.49358454336876e-06,0.00037440935125638
"ALOX15B",0.611736616959288,4.54166651284172,53.1945468701082,3.58054696100709e-06,0.000377432583707338
"ATHL1",0.314922258507545,2.75571003873767,53.1450812377864,3.59960259801443e-06,0.000377432583707338
"ARRDC1",0.232674229649258,5.82089733329944,53.0662365015399,3.63021564649643e-06,0.000377432583707338
"EPN3",0.153593259147486,7.39095988773887,53.0642340231303,3.63099700781743e-06,0.000377432583707338
"OSR2",-0.472131660933536,2.33961615217203,52.6078535831123,3.81418711058831e-06,0.000393515946297638
"FAM210B",0.185361986293459,4.67199023695917,52.3074333492908,3.94052932726212e-06,0.00040132297070449
"NYNRIN",0.249381253410919,6.09461526551675,52.2902127556674,3.94791493785249e-06,0.00040132297070449
"POLD4",0.301614345108703,3.75093512204511,51.8491060524732,4.142590979873e-06,0.000418038834282805
"CYP1B1",-0.6349644951279,1.89469621801842,51.7635061286016,4.1816257831864e-06,0.000418920119221391
"SCN8A",0.336285364248222,2.62104735520383,51.6899730537247,4.21549328539648e-06,0.000419274781802923
"SLCO4A1",0.480293452661158,3.41377253005161,50.9456209493279,4.57653380344825e-06,0.000451932713090514
"TINAGL1",-0.180017543976761,6.81576539747284,50.8281049887751,4.63670015838732e-06,0.000454017162688675
"RBCK1",0.214144511077846,6.05716417395545,50.776660193933,4.66332275600665e-06,0.000454017162688675
"EPHB2",0.592802900548634,1.0826102401113,50.5720473735666,4.77095002466975e-06,0.000461247441196219
"EPAS1",0.188705371850652,6.82220194423311,50.2231410619941,4.961080487628e-06,0.000476298178760118
"OBSCN",0.305904598379308,5.84483183495008,49.9323304917845,5.12617716191586e-06,0.000487085131987875
"FST",-0.208165543344677,8.16714329372526,49.9001339009255,5.14483797920375e-06,0.000487085131987875
"RAB32",-0.166136343792432,5.17753065019953,49.8413086308235,5.179133048985e-06,0.000487085131987875
"CNTN1",0.191094706574973,4.97857091162296,49.6515608016484,5.29154653537491e-06,0.000494294803051069
"FNDC3B",-0.133883575988568,6.83006819015867,49.3704709553208,5.46322989288194e-06,0.000506907068920086
"CPT2",0.224988840520035,3.99821304451407,49.2888554919755,5.51426322354106e-06,0.000508231260436367
"TRIM16",-0.445939451724776,5.74417015780153,49.1833979978337,5.58101224619154e-06,0.000509157251753165
"RHPN1",0.61442125752911,1.26635139624067,49.1568391433303,5.59796761421201e-06,0.000509157251753165
"MB21D2",-0.249277957354914,4.01986772328311,48.827801693696,5.81297739687228e-06,0.000522082751814205
"MYZAP",0.603580285195759,1.71702686713195,48.8126761509115,5.82308545172992e-06,0.000522082751814205
"NFKBIA",-0.259574217446722,6.59796292992237,48.7675390028251,5.85336900768187e-06,0.000522082751814205
"P3H2",-0.186923226486865,6.36614396841764,48.4319015543452,6.08427810368042e-06,0.000539199646047319
"FBN1",-0.353404908972679,3.68976782482809,48.2617406415909,6.20530381012831e-06,0.000546422453344101
"IGF2",0.800763784229929,2.27230873951734,48.093401104998,6.32774443513181e-06,0.000553677638074033
"NFATC4",0.566496855217922,2.57381515426053,48.0026003954048,6.39493097378981e-06,0.000556037237186441
"TNFAIP3",-0.332648876429593,9.34892528558651,47.9203523932343,6.45649242679735e-06,0.000557881298752959
"IFNK",-0.200068760392604,5.78064649380631,47.63712957513,6.67371375164522e-06,0.0005730688982391
"GPX3",0.361565542623716,3.37462014254441,47.458777790239,6.81477963011666e-06,0.000580010345897541
"NME4",0.175205328871724,6.04294787788391,47.3892128547482,6.87072149183536e-06,0.000580010345897541
"MST1R",0.195247586461102,6.55792559945012,47.3550173219401,6.89841240837663e-06,0.000580010345897541
"BMS1",-0.137803821948395,6.73259997323246,47.3255633760172,6.92236579190555e-06,0.000580010345897541
"LRP1",0.357994591783272,6.42125563005816,47.2238611427162,7.0058076518852e-06,0.000581780112399632
"GAMT",0.528417201567383,2.41212234667375,47.1974654445001,7.02765126732287e-06,0.000581780112399632
"MAPK13",0.27256836137791,5.66943265366551,46.9477749251392,7.23817139533507e-06,0.000595641187741115
"LINC00472",-0.33673361366222,3.99450108367163,46.5213156110315,7.61459343357551e-06,0.00062290978827918
"NEDD9",-0.347461537435819,3.36821924567819,46.3779992907947,7.746072567171e-06,0.0006267986432278
"IL1R2",-0.34622311420751,3.65252821191886,46.3707325436837,7.7528078113529e-06,0.0006267986432278
"PTRF",-0.147426192773766,9.12901233230838,46.2154605994466,7.89833218775568e-06,0.000628435341100602
"APPL2",0.181702348497586,4.63248485492607,46.1412248469585,7.96900729850381e-06,0.000628435341100602
"HEBP1",0.274601261142816,3.72580905030391,46.12006438435,7.98928479446332e-06,0.000628435341100602
"RND3",-0.251255722090473,6.83055662968232,46.0953266545514,8.01306497808889e-06,0.000628435341100602
"KCNG1",0.370272064679545,4.45419893689492,46.0713553780714,8.03618546029087e-06,0.000628435341100602
"CDK18",0.229248231642977,4.36083380109259,46.0614198891121,8.0457906238558e-06,0.000628435341100602
"RALGDS",0.249272063990394,4.81184304918879,45.9638041794048,8.14086081950551e-06,0.00063060876294856
"ST6GALNAC2",0.336341875486642,3.94969925193245,45.9393842116281,8.16484401937014e-06,0.00063060876294856
"LTBP2",0.176819215773616,8.18559043324912,45.8220846304117,8.28117526011958e-06,0.000636040266506407
"RAB11FIP4",0.238594153284998,3.90755067549946,45.7709918511655,8.33243674927441e-06,0.000636441646733253
"THEM6",0.240630543614301,3.21551556379295,45.631280283041,8.47446859280466e-06,0.000643352629050515
"GPR176",-0.209467806442046,4.8121854415594,45.5909435267648,8.5159877841768e-06,0.000643352629050515
"STEAP4",-0.740905355479277,2.42084403985128,45.3806012922434,8.73629328973358e-06,0.000656408993100907
"FAM102A",0.253328488159555,4.10136202488537,45.2535835814554,8.87247456201699e-06,0.000659498963124033
"ACBD4",0.366831201891504,2.01919266692661,45.1593402932221,8.97508314144867e-06,0.000659498963124033
"OBSL1",0.291948719080342,5.00424319184105,45.1416406181321,8.9945045689215e-06,0.000659498963124033
"EGFR",0.163546864936688,8.85716932510794,45.1259919292919,9.01171545047824e-06,0.000659498963124033
"EDN1",-0.547757642264334,5.10428522214925,45.1221604096414,9.01593519207539e-06,0.000659498963124033
"TIMP2",0.292597126988378,3.75320678690175,45.0724122291792,9.07092921874642e-06,0.000660029454995628
"H1F0",0.326684828217626,6.9739241347087,44.9812458201045,9.17270545041616e-06,0.000661959957497385
"TSC22D1",0.126699257204629,6.24186183198195,44.9630067131957,9.19322327952969e-06,0.000661959957497385
"ALDH4A1",0.198350804999881,5.46205266896324,44.8964517662456,9.26853884167029e-06,0.000663925126870942
"MARCKS",-0.132221535717476,7.02245808706855,44.7678558582521,9.41606520583733e-06,0.000670532710924157
"SMOC2",0.736859068469752,1.09350904826508,44.7319061033984,9.45778507270962e-06,0.000670532710924157
"BPGM",-0.290020300848119,4.07855978020099,44.3296122651819,9.93932814943382e-06,0.000701077610540422
"ODC1",-0.116366675109107,7.88457236267074,44.2711741653901,1.00115794681523e-05,0.000702589269782773
"MMP28",0.400890444668611,2.20738348729314,44.2103536707317,1.00874135495702e-05,0.00070433581981216
"B3GAT3",0.210426191192723,3.99514409823634,44.149893187211,1.0163449124407e-05,0.000706078814798628
"HADH",0.17906774095267,4.83138440654342,44.0351993823913,1.03094932356598e-05,0.000709102020734261
"NLGN2",0.186935940653013,5.0005191262906,44.0351564368797,1.03095483665524e-05,0.000709102020734261
"CRYL1",0.448774135726031,1.85187455087149,43.7964668142821,1.06212279718896e-05,0.000723358648816804
"DNAJC9",-0.158360377216042,5.7271728207292,43.7962855120479,1.06214687674366e-05,0.000723358648816804
"SUGCT",0.198376722957784,3.44883518533305,43.7547712078262,1.06767701523339e-05,0.000723560526254979
"ACSF2",0.315330356527156,3.72377195973822,43.5241429097426,1.09900397611085e-05,0.000741157559499147
"REEP6",0.611235116885776,0.46445301288098,43.4008971999834,1.116174152649e-05,0.000744461478766149
"FBXO2",0.285110873005699,4.39432877194591,43.3591888124513,1.12205400162651e-05,0.000744461478766149
"FAM46B",-0.208833928871254,5.94426868986508,43.3210979899565,1.12745476204564e-05,0.000744461478766149
"SEMA3C",-0.296012546642382,6.56824775749717,43.3138937060116,1.12847956418906e-05,0.000744461478766149
"MB21D1",-0.369595711604913,2.27399038528788,43.2974155602391,1.13082756268276e-05,0.000744461478766149
"DHDDS",-0.153829129410292,4.86751191791403,43.209365574085,1.14346883377059e-05,0.000745080277398671
"MROH6",0.181534702555154,5.62317313094424,43.2064882704327,1.14388463891126e-05,0.000745080277398671
"ACOT7",0.117022271553015,6.51159793970817,43.1587206142433,1.15081291545038e-05,0.000745080277398671
"TCEA2",0.470163827049268,1.72001800134007,43.1414819167581,1.1533249863531e-05,0.000745080277398671
"PML",-0.170165207205694,7.33393689481458,42.9836821736827,1.17661313666881e-05,0.000756589609974247
"DUSP5",0.161819716366827,6.96896504814126,42.8068051843514,1.20335707461873e-05,0.000770204238731663
"TOM1L2",0.155671233143255,6.19544542844282,42.7517012541573,1.21183006628938e-05,0.000772053026103721
"DNAJB4",-0.326367273547982,4.20898577800765,42.6592223477236,1.2262034551244e-05,0.000777626732435545
"CNN3",-0.175416987423596,6.52268026882183,42.5091219889849,1.24994872847901e-05,0.00078873438907986
"FADS3",-0.286111745548578,3.37379012770021,42.4620202674576,1.25750788676209e-05,0.00078873438907986
"FKBP9",0.165238267843308,6.74489162258998,42.4413972757353,1.26083399628679e-05,0.00078873438907986
"MIR17HG",-0.496927297393171,3.715581246652,42.2804008145124,1.28714769351838e-05,0.000801568327157278
"HS1BP3",0.295688282396279,4.14152900425253,42.1914825366183,1.30194911452397e-05,0.000807150067636499
"PPP1R14A",0.34579455476233,2.16540898058765,42.0809247613364,1.32062433681757e-05,0.0008117207796895
"PANX1",-0.146609715009317,5.98679069408954,42.0783401925772,1.32106456007333e-05,0.0008117207796895
"ISYNA1",0.386854913081562,3.87869959574836,41.9663328812679,1.34030436530497e-05,0.000819898577448725
"SLC43A1",0.408834418410565,2.04414257578991,41.815957978865,1.36663963778521e-05,0.000828137891097823
"PDPN",-0.16629988358772,5.80607837015607,41.786082234979,1.37194184119855e-05,0.000828137891097823
"MIR503HG",-0.484207047048389,2.69259094964623,41.7680115899495,1.37516032573049e-05,0.000828137891097823
"UROS",0.176542296353418,4.3101278182384,41.7535964475366,1.37773392370705e-05,0.000828137891097823
"FHL1",0.221961019205449,6.89612052667015,41.6890989305118,1.38931646814393e-05,0.000831484855934627
"JOSD2",0.221581726020035,3.90379719124316,41.5951958302545,1.40637893989806e-05,0.000838068484659079
"ANKRD33B",-0.243590340523791,4.36146544245834,41.4619431294574,1.43100342924038e-05,0.000849082506834686
"NIFK",-0.210550823259902,5.19962717169059,41.3984206798192,1.4429150309715e-05,0.000852491465947905
"LOXL1",0.391458148103275,2.87444967751386,41.279573082613,1.46550630207674e-05,0.000859951277882597
"IL6ST",-0.266750694816291,6.77944406329656,41.2666766149987,1.46798192824805e-05,0.000859951277882597
"MXD4",0.234937461882457,4.11214890881026,41.1812953257897,1.48449276970534e-05,0.000865954115661449
"DDB2",0.147401769322898,4.7877852756035,40.9900057875733,1.52225905799035e-05,0.00088425342339145
"HS3ST2",-0.445796123291304,3.64344182828694,40.7928891206392,1.56232744145005e-05,0.000901707915128842
"SERPING1",0.265419573418983,3.17188413826414,40.7782450285155,1.56535189606454e-05,0.000901707915128842
"MTHFR",0.231162940690585,4.05921908844548,40.7116624187695,1.57918777924807e-05,0.000905903362991891
"CYLD",-0.222949400797929,5.12303254850683,40.6434446464407,1.59350839758425e-05,0.000910341057710838
"KDSR",0.146201649832726,6.38637036559886,40.5306470843826,1.61751381365761e-05,0.000920252200568576
"MDFI",0.171370861335886,6.41122428445068,40.2651062618678,1.67567308080457e-05,0.000949433620578817
"CPA4",-0.189841418328568,7.2957871485143,40.1837073689133,1.69397652792065e-05,0.000955886755040936
"RAPGEFL1",0.261073297926163,4.56128169233596,40.1039086507644,1.7121419738886e-05,0.00096185578844471
"ADGRF1",0.236564198337907,3.5594497942972,40.0763401143515,1.71846929291749e-05,0.00096185578844471
"EGR1",0.381867282333639,7.08404307195879,39.9771853707861,1.74144815631972e-05,0.000970787127464524
"DPYSL3",-0.140326476647825,5.20412476568286,39.9068025001578,1.75797207018183e-05,0.000976062806034691
"JUN",-0.231040493432284,7.6545739177384,39.8684458707964,1.76705241992528e-05,0.000976903460430221
"KRT7",-0.150333972311418,7.93161987891487,39.8408494047029,1.7736185791536e-05,0.000976903460430221
"ULK1",0.198498236751669,4.62813936390517,39.5312792945105,1.84921678013801e-05,0.00101450087243682
"RHBDF1",0.176483089559499,4.38360748758412,39.4868135762409,1.86037469596936e-05,0.00101658814908207
"PKN1",0.45718244134593,2.73441345566931,39.2066183376208,1.93247855736194e-05,0.00105183134076885
"CMTM7",0.231176536038916,4.08409037147233,38.9630105352245,1.99776785274592e-05,0.00108239570470969
"GPATCH4",-0.213803917671914,5.37504443908569,38.893236854098,2.01692916453688e-05,0.00108239570470969
"MXRA7",0.13554766710506,5.91642780336644,38.8864074188078,2.01881591442159e-05,0.00108239570470969
"SDK2",0.326693984967055,4.65782446254051,38.8823057808345,2.0199500312123e-05,0.00108239570470969
"CRTC1",0.2932332041445,3.08521312300436,38.7748107507117,2.04993362795022e-05,0.00109422132843289
"KRTAP2-3",-0.582757322372405,2.94423234936349,38.6919477213389,2.07339355779094e-05,0.0011024871514023
"ARPIN",0.168573929873756,4.58134402778743,38.5136252266383,2.1249265523371e-05,0.00112555975425519
"PYGL",0.115337920503333,7.77976726514265,38.4512311452066,2.14330174861768e-05,0.00113095979674196
"CANX",-0.140926394972683,8.94219930306378,38.4174068256605,2.15333885890746e-05,0.00113193573096561
"ARHGEF4",0.311655422190575,5.42749726414057,38.2555510788697,2.20211706944415e-05,0.00115303419739375
"TRIM65",0.194018285599193,4.35563426293488,38.2292694316901,2.21015596607121e-05,0.00115303419739375
"CORO1C",-0.139807623248152,7.92394932685659,38.0216316363821,2.27485823170014e-05,0.00118232763358099
"DOPEY2",0.215645143372076,3.87659577439643,37.8915489244813,2.31649438753031e-05,0.00119430716482489
"SYT8",0.362124041836979,3.74305608431423,37.8884920683666,2.31748321678772e-05,0.00119430716482489
"NAGLU",0.21749767220006,3.72318179018749,37.8608539860557,2.32644546361998e-05,0.00119430716482489
"ALG2",-0.150975267389227,4.65823922487432,37.8423666751877,2.33246245571587e-05,0.00119430716482489
"SHC1",0.134693642529816,7.97888233997265,37.8130314036305,2.34204658199974e-05,0.00119478944635227
