"","fpool2_eGFPorf_TNF_24h1","fpool2_eGFPorf_TNF_24h2","fpool2_eGFPorf_TNF_24h3","fpool_eGFPorf_TNF_24h1","fpool_eGFPorf_TNF_24h2","fpool_eGFPorf_TNF_24h3","fpool2_TNIP1orf_TNF_24h1","fpool2_TNIP1orf_TNF_24h2","fpool2_TNIP1orf_TNF_24h3","fpool_TNIP1orf_TNF_24h1","fpool_TNIP1orf_TNF_24h2","fpool_TNIP1orf_TNF_24h3"
"BTBD19",2.84279636517463,2.90412211674453,3.34471375726838,2.92942843561168,2.8516234116204,3.12108355245501,3.18252200722823,3.60905686979658,3.22375144579512,3.56955165526878,3.37332458583185,2.96678488422825
"BTBD2",54.6599947818906,58.9072130160461,60.1407726546379,42.6085365959719,45.6121317538311,47.558035476422,71.9421230423206,70.7819740442351,74.8406297185359,54.2225012573622,58.8016775844023,53.159941394947
"BTBD3",32.7176922985966,29.9008413140017,29.4744890487251,31.6817685311403,31.2986433673481,30.1751396371883,32.4531616342466,31.2000351135313,30.7372301312542,31.1577059463947,30.4392936156827,31.7567075873003
"BTBD6",38.3181713653179,40.7274085652253,38.4962456966828,26.5113273422857,27.2426935634414,27.8098341647,37.9476503014344,37.6858764447599,38.4494355131179,27.2991217684321,27.0527403059849,27.1248903700869
"BTBD7",97.6934631121987,92.7576604088204,91.7169209224895,89.7576872671419,88.8571392193753,89.2657887782871,92.4073094027031,94.6069799020951,87.462856533226,88.0248547864054,82.7721252296075,87.4898807695882
"BTBD8",0.936250299907811,1.1151828928299,0.884234671461754,0.981358525929913,1.10742656761957,1.21764246216855,1.28442592219973,0.902264217449145,1.10351491798371,1.30064635212223,1.11121280474461,0.908199454355587
"BTBD9",20.7507111925022,19.4227687167874,19.1840478721485,19.6711119451324,20.6673483182002,21.0218273353696,18.4957332796762,18.3852679671521,18.5861669894111,20.7669867555515,20.9410698798895,21.2821405470659
"BTD",3.54072840692409,3.91475661337163,3.0627838620197,3.94008124589771,3.76525032990654,4.15677943981676,3.83900636746365,4.11903229705044,3.94289599908788,3.84413255182791,3.96861715980218,3.64793447499494
"BTF3",237.994826236566,222.432521165697,221.776307598799,268.526057550345,271.637894204986,255.215060892453,232.481091918152,226.729844439866,226.654524727441,248.596872768962,260.619088884209,257.580501912817
"BTF3L4",32.4112831095359,29.4245652868556,30.6919135963899,36.9400925730633,36.0328919439218,35.8294793465687,33.4378881745997,32.2853674330716,31.5803651247699,36.3458397287489,35.3603788938374,36.3885248045138
"BTG1",36.8542163509166,35.2095765434107,36.0613966013533,43.7510136858604,44.4908623541163,43.5552108306726,36.3492535982525,37.8820208398576,36.3044008972619,46.6353975366492,46.9090548288618,48.5583974928787
"BTG2",54.0131309383179,55.2828686143489,52.2979955686293,73.4114765964287,72.6887113321296,74.402153205609,45.0833498692107,42.66794408024,47.7115213977677,81.0591709894841,78.8828804130014,80.1940118195983
"BTG3",31.8835783950424,30.8766263452279,30.9353985059228,43.0918922878478,45.3629607761167,43.9051080899164,28.6569694641896,27.8263515178519,27.4886805974145,45.4070093152004,47.226544201646,46.8933651598935
"BTN2A1",12.4265948896855,11.8139687709168,11.6232006813886,12.6111894153083,11.9186784340056,11.9944780468787,10.8605347421555,10.2387374240968,11.2335338841938,11.7202687952347,11.0327557042501,11.0346233704204
"BTN2A2",6.962297684769,6.54008300690869,5.8564528240293,7.1478053828925,6.63071657362218,6.8159986100699,6.37931541359201,6.53814650325467,6.49709906767939,6.92232891851718,6.5482183136736,6.08493634418243
"BTN2A3P",1.65120507438287,1.81217220084859,2.22980917151225,1.43541993344972,1.4258117058102,1.52555205030312,2.25488106341731,1.71299438385272,2.0086451316108,1.56077562254667,1.52130324459084,1.37743583910597
"BTN3A1",7.88152525195121,7.91082864601211,8.93205168128758,8.83222673336921,9.57923980990929,9.30726709588601,8.04906911245166,8.29036976612693,8.20816714275526,8.88775007283521,8.71772902769879,9.35445437986254
"BTN3A2",12.6308676823927,13.2079473869541,12.6355853052361,11.3075937614611,10.8943088589575,11.1967122958027,12.5017456427441,13.6124210197762,13.3537704120052,10.6363968351329,11.7074206214164,10.8378468219767
"BTN3A3",2.85981909790022,3.10160242068316,2.93463390963394,2.97336986214585,3.225379878192,2.64522327988339,3.36805019599041,3.17753920058177,3.42213615015174,3.1938093757668,2.95000542211962,2.96678488422825
"BTRC",22.4189389996107,21.7112169447821,23.4001813056401,27.0679187450519,26.9796797536318,26.6901629351197,22.1349400592421,22.43891879917,21.0907738819134,29.6836400806561,28.0978094913994,28.608282812201
"BUB1",56.9410409671205,52.8666390132175,54.5406197353801,54.7803117459384,57.5861815162177,56.5433970938037,54.7308156848442,55.6134741566843,52.9935141512628,52.9218549052399,57.4391190262036,58.0944917636124
"BUB1B",43.8675822338624,42.0400717619939,43.8913586921233,46.9733849650333,47.5778139113558,46.424368356472,44.1557089253997,42.4587233921359,44.6861546563293,44.3809438596373,45.2686930694769,44.0174002211008
"BUB3",80.4494348611694,75.6117234315606,77.5947961695786,86.8136116893521,84.5520184377543,81.498069623074,80.9188330985832,77.4770360635679,76.5268997055672,80.0186539077863,81.3434230520787,83.6451697461495
"BUD13",19.5420971689849,17.4479656774012,18.9149329721384,19.553934807708,18.9646799704852,20.8818684316721,19.0095036485561,17.3391645266314,18.4249794171213,17.4864676229766,17.8852346668418,16.8470998782961
