"","fpool_eGFPorf_IL17_1h1","fpool_eGFPorf_IL17_1h2","fpool_eGFPorf_IL17_1h3","fpool2_eGFPorf_IL17_1h1","fpool2_eGFPorf_IL17_1h2","fpool2_eGFPorf_IL17_1h3","fpool_TNIP1orf_IL17_1h1","fpool_TNIP1orf_IL17_1h2","fpool_TNIP1orf_IL17_1h3","fpool2_TNIP1orf_IL17_1h1","fpool2_TNIP1orf_IL17_1h2","fpool2_TNIP1orf_IL17_1h3"
"NME2",270.983429253928,276.106614804417,281.69012429907,295.097567216742,289.274785801163,297.257048438664,270.199461753914,266.69772922544,264.275564308615,292.127684839051,294.88248993556,285.282174324189
"NME3",6.82702060542984,6.56226230374459,6.075496976803,9.48866775616535,8.6502943193681,9.40758230575948,7.21846406379982,6.94078814444646,6.37950707831752,9.33515229602607,9.91332688836779,8.6213487846244
"NME4",60.342053093154,59.2890109881872,60.4619393672196,67.6323041758678,63.8221230315898,67.979447483399,68.5584106530438,65.7202207382782,68.9191728541129,69.2183289659252,73.0133233182594,69.8825347829897
"NME6",16.9154903787378,17.0344439591976,17.1618138074644,19.2400986194245,18.5163812167411,18.2996806495595,15.6381168101158,14.2691329873138,16.3715061166462,17.1709435389195,18.7684896706738,18.1410340678022
"NME7",13.7064760849413,15.1595118724135,15.3352576424127,15.2986520130174,15.6655572407296,13.8375226038483,13.587030474876,13.5292520176012,14.5012088607539,16.7015783396779,14.9034060411642,15.6471446837584
"NME9",2.16031681216367,2.02355475219999,2.10981888583513,2.04371305517407,2.16606723667537,1.86862936210291,2.06241830394281,2.18441048200853,2.19055363532589,2.29467430740306,2.22771390749838,2.58774543613143
"NMI",7.27796052253196,6.68801994371182,7.37459842039593,6.26252071906913,6.00908975335748,5.62199696011997,6.54987791032385,6.99950885632841,6.37950707831752,5.47592732448457,5.73636331180833,5.55091508061353
"NMNAT1",17.1566907995134,16.6114409883988,16.4683085255464,16.1015392846929,15.4000393213952,16.3827246660229,14.5389158459265,13.8580880041401,15.8590959095524,14.3156385768668,16.0506787035258,16.290729040931
"NMNAT2",38.4137887522112,34.6862436055071,31.9403136883373,31.6775523551982,29.1929964994507,30.2524650174937,32.7607215203223,32.8483662267627,38.3539040009692,27.2362194782102,24.9281186249069,27.9154714923608
"NMRAL1",22.0436210639225,22.7735653467931,21.7526234201612,26.13033120544,25.5036948834358,26.0319400789509,22.6639374059649,20.4230635925421,22.5844798776582,25.9715410246982,26.6323197641431,25.9981264282841
"NMRK1",4.66670379326617,4.44724744975025,4.77639553321008,3.15315728512572,3.07441801334569,3.04457715032285,6.90116894011631,6.69416115454228,6.2898352920761,3.65061821632305,3.20790802679767,3.52630595700811
"NMT1",128.381545701493,124.191385724003,130.349689960508,124.24315580419,118.53278904181,123.329537898792,121.626020089111,122.021639290692,121.056911425905,123.456085322725,124.874503084822,123.849764733399
"NMT2",15.3634181059212,14.9422941306519,15.511075882899,19.1087170658776,18.4465080800741,18.3480072709932,14.0629731604012,13.7523907227526,13.7325935501132,16.2191752182352,17.4429998957123,17.7656098594515
"NMU",4.00602437983748,4.16143463164291,3.8484659306437,2.04371305517407,2.69710307534417,2.02971810021523,3.8075414842021,3.60545170955172,3.75340476696191,1.89049871916729,1.94924966906108,1.95756908639994
"NNAT",5.93562774604192,5.39614600586663,4.32708225196741,6.48148997498064,6.58204947402645,7.44229970078918,4.83875063617351,4.89730737095461,5.07286105022839,5.63238239089841,5.79205615949579,5.89952327408201
"NNMT",1.37379370093903,1.23471137422372,1.59213184440336,0.218969255911508,0.181670155334063,0.338286350035872,1.60913955582351,1.64417993269459,1.71657419376415,0.195568833017306,0.278464238437297,0.362016200909578
"NNT",29.6991126798422,30.3075912321026,30.4946970443392,39.5604455680125,38.3044535208206,37.8558534563952,28.1939381330203,28.3621038389817,27.5548588864678,37.5883297059262,38.9961319507591,38.1725971847988
"NNT-AS1",2.96781387302096,3.30399617732088,3.24286976896881,3.29913678906672,2.78095083934451,2.60963755741958,3.36559470478579,3.64068413668089,3.30504583575486,2.42505352941459,2.94058235789786,2.65478547333691
"NOA1",29.8773912517198,29.2215025232947,29.6058381618809,28.466003268496,28.8296561887825,29.302041462631,26.6754543268207,27.9745471405609,27.4395665898717,27.8881155882678,30.6422047976402,29.3635362959991
"NOB1",59.3772514100518,58.3058148938979,59.6219188848964,59.1508949968954,57.9248302968995,58.4752119347721,52.7503143123833,52.6842227004853,51.8943437234222,56.7671132638234,58.8116471579572,55.8711670070449
"NOC2L",134.380095296433,130.273482493327,132.811145327316,129.877964656312,125.436254944504,130.75572872577,119.019667287425,116.959913926468,121.684613929595,120.978880104506,130.03166078068,127.309030653202
"NOC3L",32.404752182455,35.966685030628,34.3333952949559,28.9039417803191,29.6681338287859,26.5635329147216,33.0440207378968,34.4573137323281,31.6669507983954,30.3392449620847,27.7461767178923,29.4573923480868
"NOC4L",20.5439836651875,18.9894036350519,21.2935424588916,23.8238550431721,24.7770142620996,26.1124844480071,17.8025228323854,17.1934244390349,18.2802341380705,23.3769945066686,25.5741556580814,25.3009100413472
