"","fpool2_eGFPorf_unt_1h1","fpool2_eGFPorf_unt_1h2","fpool2_eGFPorf_unt_1h3","fpool_eGFPorf_unt_1h1","fpool_eGFPorf_unt_1h2","fpool_eGFPorf_unt_1h3","fpool_eGFPorf_IL17_1h1","fpool_eGFPorf_IL17_1h2","fpool_eGFPorf_IL17_1h3","fpool2_eGFPorf_IL17_1h1","fpool2_eGFPorf_IL17_1h2","fpool2_eGFPorf_IL17_1h3"
"LSM11",12.8367252285967,11.7839213840137,11.2180532667229,9.68218231881765,9.47052239172325,9.4571547867747,10.3506441437162,9.35179540847226,9.33790210582584,12.0725049759211,12.199849662049,11.6144980178983
"LSM12",70.190877949307,68.9596433866205,69.6864710952252,76.663082117725,76.0568076346539,76.2921242099531,78.3377018779737,77.7982490888187,78.0339957358186,69.252676669613,70.6277665429505,69.364810631165
"LSM14A",80.4266980662272,76.6462817606754,78.3842522597958,74.6713846847221,71.0688218244064,74.0832502947204,74.7826174152383,76.7235928927351,75.8265000497134,76.9166006265157,81.8354176643289,78.2891267225875
"LSM14B",29.6838783390686,31.7116160233588,30.4422340759971,25.6042490809161,24.8202173917916,25.8451474872137,26.2593849400865,26.6034571094315,26.9294938344789,31.7651400575628,31.7363786741276,31.7666991557495
"LSM2",22.2503237295675,21.5869249491631,22.2560870975777,20.7228634647702,21.973740156077,21.5993479255987,21.3934286253101,21.3445012562564,21.4205222992427,21.4151932281455,22.6249216527576,21.0059714498465
"LSM3",32.5364839454234,31.3391357497261,32.7730120351304,34.9755884477622,33.811893145731,35.871054240186,34.6489647931493,35.1321116017546,36.8436890618986,32.1592847182035,33.7068011281355,30.4618803770397
"LSM4",101.754119981974,101.924147603107,101.000378229109,89.7760496101546,93.641120277713,94.7699497164206,89.7160695536901,91.5401293834197,92.8808693768807,105.265820291859,107.269239411098,109.153728944908
"LSM5",18.5419364413063,17.1171616655716,17.5566323507073,19.6521821857571,17.8370372574451,19.6814633884206,18.6353542486157,20.8300381836631,21.0688858182702,19.2546965698186,21.5209260934198,17.9291765519012
"LSM6",9.29613827012098,9.31200684081544,9.45575773664646,8.81872967445222,8.65914336658966,8.6238670223456,8.42104077751176,8.65441213229034,9.23045762552868,10.4959263333583,10.5787928913758,10.7124010844693
"LSM7",34.3990676060433,35.1316621721673,34.5542569795087,31.4411889568264,35.1952278771063,35.1700343748726,32.7403353765775,31.9538730644009,34.2064154546047,34.699328086777,35.090289234141,36.6799056681752
"LSM8",18.0888755508852,17.3541945669742,17.7082276651225,18.2361198489978,17.5045048700952,17.4329091034532,16.7581857564929,18.0290725662112,17.6990362089502,16.2037249374516,17.7477767134047,16.7210110160588
"LSR",79.9736371758061,85.1456043681106,82.2688821916846,71.6780821842552,74.9394988131584,73.5277251184344,73.6395371602586,70.7672537633781,72.9938728418792,92.7407788537207,87.9702790636869,92.7387865312626
"LSS",349.058246019958,353.466848755825,350.734709313806,356.156946747851,363.989951193127,364.331928114279,369.581966477048,350.783787919504,354.58632034068,378.305884463115,364.22071219013,380.813776897524
"LTA4H",68.2611741567728,67.1988275476299,67.5641366934127,82.2812806570627,81.0447934449013,80.6305113009491,78.2747800290757,80.690674808065,82.5173608682183,67.3987369695622,65.0379156095947,66.4974310927657
"LTB4R",18.1895557487566,17.9467768204807,18.3335583370851,20.4810967243479,22.1732595884869,20.8321941107275,23.0923185455553,23.4366510848021,21.0591181382432,15.7365905248404,17.3844364027365,17.1720594827733
"LTB4R2",11.6621229200976,12.6304674604515,12.6961075822708,11.4206003094734,11.7583452166901,10.7401534081973,11.5776201972266,12.0727334368542,9.64070018666329,11.9849172735565,12.2976720533828,13.3864741371338
"LTBP1",13.6925069105031,14.0357339473382,13.7099012474223,15.8529905505492,15.2698872271043,14.7214171715808,14.4195903724517,14.3478034689886,14.5538432402516,14.0578262295188,13.5833377680546,13.3381475157001
"LTBP2",325.985700674441,335.164522583241,327.682746815549,219.466636793842,226.507760967212,219.723434011051,220.247445092531,212.095976061097,214.381041232914,351.036913126936,339.262027772697,350.899598230066
"LTBP3",17.3673341328072,17.8451912913081,18.1345894869152,15.9335794640233,16.2408817981659,16.387992700439,17.3874042454726,14.5535886980259,15.1301363618454,17.6051281752852,18.3486856887404,18.9118178543864
"LTBP4",50.4575591665231,49.3536362563218,49.9696055141016,39.7188216408096,41.925683397067,40.2358949110051,41.056506405926,38.5618654190427,36.9609012222228,52.5818173195501,52.6004972828781,53.7392030342699
