"","logFC","logCPM","F","PValue","FDR"
"RPS14",0.0229381444028629,8.43789756156437,0.588023283220654,0.455774073343762,0.611141523943829
"HCP5",0.0635331838585663,1.07560513575608,0.587500714309581,0.45597037040246,0.611345278298038
"FZD3",-0.0445075200254344,4.0333169473497,0.586805708939195,0.4562316583159,0.611636121470372
"HIST2H2BF",0.0328617381674178,7.26762286711456,0.586672519314202,0.456281759404894,0.611643813020444
"PRRG1",-0.0460306615849809,4.35900143118865,0.586425005769174,0.456374889209991,0.611709177283506
"PRIM1",0.0360875248576525,3.62853828043929,0.585926629472396,0.456562504608748,0.611845948201638
"EFEMP1",-0.0317118414707924,5.94644793010637,0.585918181013936,0.456565686160764,0.611845948201638
"SLC35F1",0.0796227334792619,1.36853512868376,0.585023090167144,0.456902971193241,0.612183733880369
"SMO",0.0238616564581273,3.87484837811733,0.585013595336697,0.456906551217016,0.612183733880369
"HERC4",0.0253088166470115,5.64926012470888,0.584175483450417,0.457222744559981,0.612547855334608
"DMD",0.0359762536894408,3.03946232373432,0.583642913307034,0.457423855291356,0.612748760048977
"GMPR2",0.0197614070188699,5.21428005902142,0.583543020866344,0.457461593325895,0.612748760048977
"ZNHIT2",-0.0348599279208991,3.41378679953337,0.58318966630569,0.457595127462115,0.612868080660597
"LOC101929057",-0.0711685165156175,1.18048220564306,0.583064002443631,0.457642631950594,0.612872167722471
"CCDC152",0.0945960612094552,1.18272337891507,0.582018485051211,0.458038184785303,0.61334231290161
"DTNBP1",-0.0325801897659483,2.93340345948319,0.581817827542967,0.458114164928781,0.613384480127523
"RB1",-0.0402208047216324,5.57078813915543,0.581695967937959,0.45816031800486,0.613386706577297
"THOP1",0.0272133721474662,6.0750026744558,0.581403428243871,0.458271145958771,0.613416044164501
"TRIM34",-0.0506474249473558,2.40756191658524,0.581391171843023,0.458275790238901,0.613416044164501
"FRG1BP",0.050641394953419,1.79320576255975,0.581285835224129,0.458315708343985,0.613416044164501
"SLC6A4",0.0572318641390475,2.2178398003235,0.581000485238447,0.458423872907929,0.613445098589234
"PRICKLE2-AS1",0.103129150428935,0.460195201261046,0.580993805680137,0.458426405364828,0.613445098589234
"RAB38",0.0231133345101738,5.11009768699275,0.58055085767904,0.458594394548876,0.613610337504401
"KLC3",0.0328488306446879,5.08337069878841,0.5803293333137,0.458678446639261,0.613663245396943
"SEMA6A",-0.0581774241640973,1.13908365929112,0.578694642864141,0.459299483634521,0.614379332191335
"RPS29",0.0316595599170213,7.59492767036883,0.578685909439038,0.459302805316319,0.614379332191335
"CTAGE5",-0.0362114622800082,4.05030294030381,0.578426923887989,0.459401326381555,0.614451502408081
"VPS4B",-0.0262501306161874,6.22615122014672,0.578122505662318,0.459517175542069,0.61454683278674
"SLC25A25-AS1",0.0430795652626401,3.09661199429282,0.57787776512816,0.459610349083695,0.614611821805714
"FAM120B",0.0228906687551839,5.33619756469984,0.577743460044392,0.459661492848605,0.614620599544537
"YY2",0.0477981988424494,1.63766371294695,0.576963275958941,0.459958776759878,0.614958461519438
"VWA9",-0.0193310239239078,4.88856448922205,0.575867751338747,0.46037676014267,0.615455064641709
"PACSIN2",-0.018902844456576,5.82171413012719,0.575755845452555,0.460419492037034,0.615455064641709
"ZFHX3",-0.0270226475871475,6.85709326160111,0.575467623565949,0.460529581646256,0.615508973924736
"RASGEF1B",0.167749979670228,1.09991796496539,0.575416509905235,0.460549109669078,0.615508973924736
"GDPD5",0.0679014978928749,1.76764970837287,0.573927741402049,0.461118501650019,0.616167107164278
"FAM161A",-0.0270513908583951,3.17483138164756,0.573895264534155,0.46113093578886,0.616167107164278
"MGEA5",-0.017865219267419,7.08359176987675,0.573343406821466,0.46134230637943,0.616310644434933
"HIST2H2AA3",0.0360256621782297,7.65479633223742,0.573264704078853,0.46137246400326,0.616310644434933
"HIST2H2AA4",0.0360256621782297,7.65479633223742,0.573264704078853,0.46137246400326,0.616310644434933
"MBTD1",-0.0382086939671954,3.50139605585932,0.572129352953255,0.46180787881994,0.616832515529017
"ZFP57",0.0364768078983886,2.44521056848051,0.571514726846882,0.462043878540796,0.617087954416542
"PMF1",0.0265168532552748,4.09877534899174,0.570702672861664,0.46235599442196,0.617444991776013
"PLEC",0.0291629215321676,12.0586730426787,0.570428027229846,0.462461635235713,0.617525392100111
"PCNT",0.0168078590811502,6.96285193913608,0.570313288600552,0.462505780722837,0.617525392100111
"ZNF470",-0.0429629458933375,2.7384927724588,0.570161653983475,0.462564132688668,0.617541823217434
"SEC23A",0.0204932829407294,6.36829199518887,0.570048537135039,0.46260767028285,0.617541823217434
"PTK7",0.0198127736033431,6.99382290099347,0.569344562506941,0.462878777537067,0.617748047925691
"ZBTB17",0.0273472760238734,4.52847977937896,0.569325536775558,0.462886108214111,0.617748047925691
"CALD1",-0.0201475660656306,8.38729395548295,0.569235708481677,0.462920721975978,0.617748047925691
"RPL10",0.0273405721265458,9.36235400310665,0.569182098207881,0.462941381821153,0.617748047925691
"SLC25A28",-0.02896404087605,3.77973716872063,0.569016415046133,0.463005241061987,0.617773469323683
"ZNF346",-0.0308453421239826,3.65670232572703,0.568294461949092,0.463283675530332,0.618085159138444
"LTBR",-0.0266063280406862,6.76604400522894,0.56756713799781,0.463564464959615,0.618369413464045
"CHCHD6",0.0321281029424125,3.42857416257864,0.567510245822093,0.463586440673415,0.618369413464045
"CASK",-0.0200778120642878,5.14534751826942,0.567019726307687,0.463775985825214,0.618562398817087
"LENG1",0.0534184129335328,2.40812497541786,0.566378323799464,0.464024030735866,0.61883336348959
"DLG1",-0.0286868708196866,7.03661057805845,0.566097685468597,0.46413262988296,0.618918325582394
"CORO1A",0.0505146149867299,2.3417491431142,0.565786731637602,0.464253010045812,0.619018979642322
"LOC101928295",0.0583107041836401,1.18219037051014,0.564621349352584,0.464704632929611,0.619561239164543
"MIR4435-2HG",0.025304635709179,4.4737810329489,0.564119675512401,0.464899274557778,0.619760810126483
"STAC2",0.0745371212453515,1.75366936436544,0.563875952572008,0.46499388464474,0.619810008934276
"PP7080",-0.0386944237083464,2.52747724741149,0.563743103567797,0.465045468516305,0.619810008934276
"LOC101929567",0.028151845777678,6.5534138503554,0.563677234706967,0.465071048264676,0.619810008934276
"FGD1",0.0280488048683565,5.06905078416331,0.563290958024622,0.465221103884823,0.61995006372125
"KAT5",0.0243294418706787,4.40856234202153,0.562959950774684,0.46534975386273,0.6200381123088
"ZNF490",0.0331037336681908,4.34480690016387,0.562889553363129,0.465377122374081,0.6200381123088
"RHBDD1",0.030122478601894,4.40657640149335,0.561310566703428,0.465991698750553,0.620765290069578
"POU2AF1",0.038915393833753,2.90217295793952,0.561255990812112,0.466012965273093,0.620765290069578
"ACSL4",-0.0308599270591642,6.86165248498271,0.561049643448412,0.466093387153333,0.620790303603582
"CKS1B",-0.0183143966413442,5.71255608793897,0.560976762025983,0.466121797555979,0.620790303603582
"SH3BP5-AS1",0.0332589523350738,2.85089330693448,0.560852768294733,0.46617013908645,0.620794717239919
"CTAGE8",-0.0300272613406798,4.22955411195401,0.560497732137734,0.466308603943727,0.62091913488238
"C17orf96",-0.0265594828519709,4.32104993712957,0.560197645480694,0.466425692328095,0.621015067129642
"FZD6",-0.0242713953158359,5.84902407213553,0.559932495286168,0.466529190297177,0.621092887855078
"EXOC1",0.0245859866150043,4.82074616695012,0.559052651521789,0.466872903011433,0.621490461892307
"SLC6A11",0.0561587866820228,2.68840835109705,0.558469410483972,0.467100982273368,0.621734045433764
"SLC31A1",0.0181715556666899,6.29860428355015,0.558315707613495,0.467161119768859,0.621754064895575
"NFASC",0.0456815052096717,2.52734787866354,0.557881787320073,0.467330964990504,0.621855827090714
"RAD51C",-0.033654751501347,3.63186006107368,0.557852577314215,0.46734240211671,0.621855827090714
"ZMIZ2",0.0278269800871448,5.57431421263178,0.557774709749422,0.467372893328061,0.621855827090714
"TSTD2",-0.0227897220909245,3.99147340270722,0.557138328266329,0.467622211877456,0.622127514730723
"ANAPC13",-0.0303210530898169,4.52891507822506,0.556678887747363,0.4678023486708,0.622307118981506
"SP1",0.0168331580553822,6.74647198716529,0.556250150164928,0.467970553030865,0.622470816655719
"TMPRSS11D",0.0790552494302967,2.26776344535448,0.555942179792736,0.468091440368535,0.622571550102352
"MED25",0.0383525193442223,5.13126235315404,0.555528813744114,0.468253781379196,0.622727393062118
"UQCR10",0.0259897880995647,5.06184980016476,0.554982632403778,0.468468428557282,0.622866738781437
"PHKB",-0.0245751343943133,5.7159794233178,0.554979324695805,0.468469728979558,0.622866738781437
"KLRAP1",-0.0903585837847531,0.127324826677697,0.554917352232931,0.46849409452118,0.622866738781437
"AKAP12",0.0464764106618984,4.35402099941508,0.554731334968904,0.468567243258055,0.622903922746004
"SLC15A2",0.0404361962569092,2.06942373745441,0.554101314461811,0.468815133435667,0.623119136737496
"RCN1",-0.0240376436487451,6.19096123009482,0.553997711625472,0.468855918582712,0.623119136737496
"GOLPH3L",0.0332783682413169,3.89886570054848,0.553975350669946,0.46886472216688,0.623119136737496
"LOC101927021",0.065596039010625,1.1655488849139,0.553650904018391,0.468992489326926,0.623193264738225
"PLPP4",0.0976060112006768,-0.222815242872122,0.553604158274119,0.469010902656402,0.623193264738225
"MPZL3",0.0695841927425457,4.2715024584786,0.552668842778282,0.469379583841347,0.623623043502038
"SULT1A3",-0.101536385628534,0.365593640077136,0.552105447936791,0.469601898303561,0.62378274046298
"SULT1A4",-0.101536385628534,0.365593640077136,0.552105447936791,0.469601898303561,0.62378274046298
"OTUD5",-0.0204055409679156,5.33135635416761,0.552020294772475,0.469635515050825,0.62378274046298
"SNHG19",-0.0507604067704283,2.18557262038751,0.551383756322539,0.469886936479454,0.624056564227168
"RGPD1",0.200804362750551,0.363084518780736,0.551060128977644,0.470014850839935,0.624166321376439
"CEP135",-0.0276200664866922,4.14837374998204,0.550544554310056,0.470218754456805,0.624376959231048
"ZNF641",-0.0359245945266414,3.29611088660848,0.549240088735733,0.470735323986084,0.625002687961878
"ATP5C1",-0.0145086348921175,6.27811792911016,0.548501912047993,0.471028068431637,0.62523799536626
"CYB5R3",0.0277094679845302,7.33963452324254,0.548470579212345,0.471040501158277,0.62523799536626
"CLPP",-0.0334022168991112,5.14865757704731,0.548450167577007,0.471048600701337,0.62523799536626
"PRKCD",0.0310688834567274,4.70189123674682,0.548332509246615,0.471095293315028,0.625239777525442
"GDPD1",0.0484210081756086,2.32482953953711,0.548160476456364,0.471163578504458,0.625270214346035
