"","fpool2_eGFPorf_IL17_24h1","fpool2_eGFPorf_IL17_24h2","fpool2_eGFPorf_IL17_24h3","fpool_eGFPorf_IL17_24h1","fpool_eGFPorf_IL17_24h2","fpool_eGFPorf_IL17_24h3","fpool2_TNIP1orf_IL17_24h1","fpool2_TNIP1orf_IL17_24h2","fpool2_TNIP1orf_IL17_24h3","fpool_TNIP1orf_IL17_24h1","fpool_TNIP1orf_IL17_24h2","fpool_TNIP1orf_IL17_24h3"
"EIF3C",532.938839777409,521.550053885445,516.987300552371,612.574499516994,591.344908532479,600.708072244753,535.104295690568,531.245302269282,524.421754250539,542.276958007936,595.402240552331,553.191949512475
"EIF3CL",1.11349685364141,1.2379505397075,1.13201844228937,4.27871451176854,3.12055360703155,0.876306451122907,1.49659501932038,0.84925550258454,1.32480424789618,1.73972721815785,1.28833114909084,0.985366317247448
"EIF3D",154.281175165649,155.907192669428,149.039891499463,175.161827293824,174.480954085466,172.451066088222,163.532287067651,159.343362942557,160.274550273258,169.975333322156,185.880418190826,172.025494965385
"EIF3E",146.18426594596,147.34594435868,145.022606539631,180.346255096405,185.297873079071,178.524776318419,142.853248061563,144.071158057096,147.414581765902,183.893151067418,165.241353182391,178.959554234904
"EIF3F",140.946706671424,132.53528308242,131.576436261707,138.293050059205,136.014129814173,138.124027175269,143.321747371959,142.012793025408,138.716372057493,126.123583136222,140.479628496865,127.550195510364
"EIF3G",98.7987887298865,97.1119995666934,95.7521940941346,101.236883867867,99.5276568704198,94.8375102361809,98.1766332674167,98.5424266219282,96.3226361248152,89.0580971371494,103.208208353667,88.0868827554169
"EIF3H",102.276748038174,102.675319462005,101.522727129219,128.33020386027,130.373129063001,127.351501319224,104.358221390697,106.372850238979,106.773869635996,126.973526204635,129.734946713447,127.063594859872
"EIF3I",157.85536259709,157.503104810979,159.821676907122,170.711339571729,169.275030519889,166.226268538866,159.289765534621,160.811567370754,154.426676976989,151.767959153496,167.959731906973,154.775501905423
"EIF3J",65.998745609042,70.6079259635581,69.508693377158,77.6571068139597,80.6543086125078,76.1631175881134,54.8534609255251,55.0000894131445,59.4823725444295,74.5161024510208,55.9779884279969,67.9172857925
"EIF3J-AS1",1.97954996202917,2.02844907711109,1.89129910480052,2.95137606833669,2.16038326640646,2.87065906402332,2.16030237571463,2.40382489714607,2.28829824636613,2.69591317012248,2.93739501992711,2.79795374033226
"EIF3K",83.8696827662498,81.3020288186217,82.5821258753047,94.287876722841,90.5560652502041,89.7458675805184,82.7812253730167,84.220236366477,82.8337201462359,87.5308556860948,96.0064372302493,83.5250016570491
"EIF3L",160.164837552791,158.621734816738,153.609380577485,188.872452627155,184.937809201336,183.601310242165,159.511001320086,161.243392202577,158.320798554138,179.138782028483,189.565045277226,179.421824852872
"EIF3M",97.4790887552004,96.9777639660022,97.6434931989351,119.116913488213,117.755890680724,113.572337811912,91.3183239180095,88.8983387112224,91.638984743364,118.965468856932,102.924775500867,114.22950270313
"EIF4A1",609.179007065005,588.160741961755,598.699704941527,727.162846551145,731.784823510471,701.468205391972,576.540456921142,568.799668476791,564.232790992874,670.92380962851,713.001107841343,631.70496446945
"EIF4A2",77.7385766338539,82.8979409601723,77.4466275761383,96.8332433849515,102.198130630283,106.425907615686,85.86551249979,84.3641779770846,90.7290181892535,96.8669490781938,94.9500056879948,103.658103571179
"EIF4A3",65.077705001709,65.6710388714715,63.0202949884262,73.5501655125176,70.2124561582099,68.4425555790823,60.8398410028066,60.3978998109276,60.7937949312358,67.2650256486224,70.6005469701779,65.9465531580051
"EIF4B",374.959755307692,372.190575516398,364.634184343768,458.806244782013,456.621007613521,471.392435776461,392.02981184354,387.908246426284,388.368372549929,446.64508245103,450.516519525575,453.292835966351
"EIF4E",60.1838175955813,64.3286828645598,61.3360724279469,65.6017505983198,68.9672352477118,66.1158108640318,52.5760337222115,53.6470382734336,55.2403225789437,72.178759012885,55.7203221981787,64.3286059951173
"EIF4E2",43.7700491604228,41.9709978161074,42.5059119976702,50.1109301761505,50.3189269133838,45.6585878498867,37.7532360960732,39.1953005684356,39.1954711322011,45.0602629863328,45.3363731365066,42.8573522921328
"EIF4E3",3.95909992405834,4.62367069047381,4.1967512982435,3.60723741685596,3.6006387773441,4.10957508112812,4.71102084342588,5.05235053232498,4.18852252112631,4.22315462117708,3.6846270863998,4.5497160821055
