"","fpool_eGFPorf_IL17_1h1","fpool_eGFPorf_IL17_1h2","fpool_eGFPorf_IL17_1h3","fpool2_eGFPorf_IL17_1h1","fpool2_eGFPorf_IL17_1h2","fpool2_eGFPorf_IL17_1h3","fpool_TNFAIP3orf_IL17_1h1","fpool_TNFAIP3orf_IL17_1h2","fpool_TNFAIP3orf_IL17_1h3","fpool2_TNFAIP3orf_IL17_1h1","fpool2_TNFAIP3orf_IL17_1h2","fpool2_TNFAIP3orf_IL17_1h3"
"DUSP10",18.0271097092686,19.9268696784439,18.9688346124621,18.1598502902611,19.0613916827433,19.5078461854019,19.8468489679292,19.8359001208589,18.6878353076447,21.3065082135312,22.9409334383802,22.9816949181773
"DUSP11",38.6025542989051,38.6876230590099,39.2270029884901,38.7867541971251,39.7578147634931,39.7405916923093,37.928433730066,37.7138146565153,38.4706609653466,41.6977884110172,40.4935407981463,38.6622933531544
"DUSP12",13.4443017145331,12.9187393784519,13.7919641981444,12.8461963468085,13.094225811386,12.500486077516,13.6436775531816,13.9619433652515,14.2786741647472,13.3745320744732,13.3176353581798,12.7805621073186
"DUSP14",93.4599195631194,90.0081726783644,91.5915356133147,93.1641194151496,91.0307224496992,90.1130401000318,73.0687398827586,73.0027394728952,70.4005795730176,91.4129742425899,92.3764531069417,90.7317898291515
"DUSP16",32.8976399988224,33.2343144895218,32.1942733690397,33.10815149382,31.7643279287943,31.7828080295607,33.3750419469001,32.0507178870066,32.9373097297237,30.8614887010426,31.6271313309954,29.8455999951979
"DUSP18",9.01879834204249,8.86019736132763,8.98626562485332,8.83175998843083,8.66426894670149,9.58477991768303,9.40374390001635,9.53388365717818,9.40231713915872,8.43230078782935,7.55086497304108,8.29206367054083
"DUSP19",1.45768949946966,1.40619906508813,1.26979840351188,1.73715609689796,1.35553885133878,1.77197611923552,1.53429505737109,1.2350370614354,1.37238790540515,1.45216178545831,1.38762912392402,1.28242812479366
"DUSP2",4.29965967469467,3.72699914811975,3.79962753050863,4.89031338202368,4.22033745468363,3.96278295756307,4.58638737579745,4.86484110784921,4.4675606282338,3.63650598375274,3.31589297145479,3.51210429630991
"DUSP22",12.1124559128594,12.9301718911762,11.7602867525254,14.2913934358244,15.3860646940618,14.8040550325222,10.5585896421236,11.4316235320667,10.949903500573,13.3257199136174,13.9303547116008,13.3634839822249
"DUSP23",7.98058783522597,7.54545839803385,8.03880066223291,9.09452309552463,8.34285251803353,7.92556591512614,10.1461447342282,9.94054220179716,9.85491315051574,9.01804671809825,8.57807094789392,8.42322109239473
"DUSP28",1.10113235571449,1.07465619608361,1.09398016302562,1.56198069216876,1.69092990734013,1.77197611923552,1.36931709421291,1.56638846816198,1.32858829140286,1.64741042888128,1.5678406984596,1.69047343722801
"DUSP3",46.6146030585801,44.5182045483997,46.2206618878325,47.0929879713683,46.2420418461858,47.2634357621547,52.4464944879859,48.8592710645909,51.4645464526933,49.5809523892194,47.9182576690125,48.6448304609232
"DUSP4",254.319626270782,243.04378800576,247.083233963358,266.952718856917,252.11625172168,264.266074873261,241.626724841473,233.587680314655,220.764654442887,289.431707794119,292.681618203246,287.97797925054
